approx_value,iteration
16.973061736629127,1
41.15479275626264,2
53.12483323307711,3
79.96003400857643,4
88.00009329186057,5
103.97256498783543,6
107.54811610814949,7
112.31570719227373,8
115.98137278573937,9
119.1688963846723,10
124.27907298521714,11
129.68438695130118,12
130.78852763771766,13
131.48042927596174,14
136.0733037542372,15
137.56240509145272,16
137.59305352239096,17
138.1532950237857,18
138.3481972225448,19
141.64114441371407,20
142.79352472850013,21
144.24284141489824,22
147.52917940289623,23
148.16401848664125,24
148.274726603276,25
149.6548683587781,26
149.86144308494002,27
150.038307744045,28
150.08956081121445,29
150.37101272951185,30
151.41560292994143,31
151.95220196975833,32
152.22616192893003,33
152.37220997701957,34
152.39515912208668,35
153.76740577054034,36
154.48972381880688,37
154.80622563533348,38
155.02580645965662,39
155.1119119291814,40
155.14756086694223,41
155.20334824686356,42
155.23977907172025,43
155.27401087223825,44
155.29784824069742,45
155.6174540258142,46
155.7074950337037,47
156.0176975196466,48
156.21621239740784,49
156.31267446300018,50
156.40386173390175,51
156.50337937762475,52
156.52560634945783,53
156.53494335008875,54
156.65063705969933,55
156.77142106347574,56
156.8975555004049,57
156.96919743074216,58
157.03244928747705,59
157.0416802545354,60
157.07616672437405,61
157.09698449366348,62
157.13258712870226,63
157.152269906262,64
157.16974476805922,65
157.1897133062284,66
157.20161850184166,67
157.2095267474155,68
157.2217538943592,69
157.2235019209797,70
157.2256257791707,71
157.2336606033968,72
157.23738378693045,73
157.2378428784184,74
157.2394649519046,75
157.2424613248204,76
157.24584936632857,77
157.24902786088427,78
157.25058783625585,79
157.25267955802096,80
157.254089414826,81
157.25561481174765,82
157.25677926664412,83
157.25825898037348,84
157.26074730886165,85
157.2625789328487,86
157.26404981138853,87
157.2643834145664,88
157.26484649240768,89
157.2649192266513,90
157.26506293147523,91
157.2651319575889,92
157.2652327747668,93
157.2653678408398,94
157.26551737776612,95
157.26558102735805,96
157.26561240818285,97
157.26561435364223,98
157.26564703062058,99
157.2656537658243,100
