node,iteration,delta
1,1,21.663003508341674
1,2,12.85276826057941
1,3,14.708838735260699
1,4,9.445844050545993
1,5,13.223214310238461
1,6,11.808200918564054
1,7,10.542883754993653
1,8,13.10672409852188
1,9,11.830373231869203
1,10,12.041525748224188
1,11,11.839913695279833
1,12,11.68361025392096
1,13,11.364494838848188
1,14,11.865036890057297
1,15,14.296389360278013
1,16,13.056071255480447
1,17,13.159482597791907
1,18,13.171868140426199
1,19,19.115158251117535
1,20,13.905203513721403
1,21,16.5621503756053
1,22,14.378618141890968
1,23,15.08449075243621
1,24,14.794782967887727
1,25,14.794415703814934
1,26,14.91270808215495
1,27,15.049531187065043
1,28,14.991222662642429
1,29,15.345454579021663
1,30,15.049179722475145
1,31,15.2047092664954
1,32,15.354120576019284
1,33,15.267910071965133
1,34,15.272246197377001
1,35,15.27555725351101
1,36,15.433306434734192
1,37,15.621785309618957
1,38,15.643463452973151
1,39,15.639090905226311
1,40,15.605131741139388
1,41,15.61681617050536
1,42,15.617739566561028
1,43,15.615293310137218
1,44,15.62847066851947
1,45,15.619604540190124
1,46,15.690771575797982
1,47,15.684424917009437
1,48,15.770768989536123
1,49,15.73264291403774
1,50,15.713143730171453
1,51,15.731427211973795
1,52,15.72707894575683
1,53,15.733371759951211
1,54,15.735936989655357
1,55,15.737404388401586
1,56,15.750629371414732
1,57,15.813983594823952
1,58,15.769155800170125
1,59,15.777798651484375
1,60,15.783486837087224
1,61,15.800204473616617
1,62,15.783280524764251
1,63,15.784035662916665
1,64,15.784619785450417
1,65,15.787996829409508
1,66,15.78609877059236
1,67,15.785863652352816
1,68,15.787622356422048
1,69,15.786551228636768
1,70,15.786886827692484
1,71,15.787386979018748
1,72,15.787031908140051
1,73,15.7876052843134
1,74,15.787623744845945
1,75,15.788156437047547
1,76,15.788184601582145
1,77,15.788308707052465
1,78,15.788347151767084
1,79,15.788471176896508
1,80,15.78869564517018
1,81,15.788578774712619
1,82,15.788683996685847
1,83,15.788711791904205
1,84,15.788902498491495
1,85,15.78880542056612
1,86,15.788866659524217
1,87,15.78880029431528
1,88,15.788829781218169
1,89,15.788937844146119
1,90,15.788888927603523
1,91,15.788906982969593
1,92,15.788909189605818
1,93,15.788929742619075
1,94,15.78894917765291
1,95,15.788954772810001
1,96,15.788960102066795
1,97,15.788963266910997
1,98,15.788963668944376
1,99,15.788968658830072
1,100,15.78897182404856
