node,iteration,delta
1,1,2.4875
1,2,5.528794457808594
1,3,7.563333133122086
1,4,12.733309476375489
1,5,15.064998243840733
1,6,12.163731339392172
1,7,12.176673028914479
1,8,13.639822418709315
1,9,12.749952668915569
1,10,12.184849866745452
1,11,11.493835816361496
1,12,14.198046119414329
1,13,15.5320574653406
1,14,14.466351935745621
1,15,15.034921953586746
1,16,14.95194820670136
1,17,15.212974880185755
1,18,15.789921470155889
1,19,15.634715514461845
1,20,16.339851007928445
1,21,16.329838673102245
1,22,15.929036053936045
1,23,15.968012578592663
1,24,15.97767322975136
1,25,19.950313684426106
1,26,16.350339696675462
1,27,16.5816363313794
1,28,16.646155128048918
1,29,16.670275079937
1,30,16.68707293730307
1,31,16.697278631987018
1,32,16.730901542418366
1,33,16.697215787106217
1,34,16.720888325039994
1,35,16.903790900971416
1,36,16.71751325381163
1,37,16.722407989727316
1,38,16.72519154722832
1,39,16.726891587073936
1,40,16.73863336964257
1,41,16.768796429907297
1,42,16.795152843238043
1,43,16.735632945826495
1,44,16.74037834883714
1,45,16.749288665026484
1,46,16.774940640744887
1,47,16.75645061961157
1,48,16.794369880949745
1,49,16.769905409063938
1,50,16.774830259570734
1,51,16.78455230070898
1,52,16.77933211981724
1,53,16.781592207538466
1,54,16.779467746721394
1,55,16.78094091001313
1,56,16.781709867358444
1,57,16.78219560345852
1,58,16.783072158239975
1,59,16.78388672580246
1,60,16.7854223392182
1,61,16.785718427802436
1,62,16.795095348842523
1,63,16.789016556723737
1,64,16.78744009325075
1,65,16.788192611146172
1,66,16.788214215292214
1,67,16.7901754108903
1,68,16.789709467803988
1,69,16.790235918823385
1,70,16.79038750140552
1,71,16.79112067879575
1,72,16.791179835319127
1,73,16.791198649682713
1,74,16.791323628572997
1,75,16.791354791461174
1,76,16.7915303993056
1,77,16.791610872656747
1,78,16.79172200436824
1,79,16.79178994437649
1,80,16.79200189105069
1,81,16.792225998606455
1,82,16.79225516123975
1,83,16.792349112861245
1,84,16.792914386564178
1,85,16.792342570541308
1,86,16.79216757468103
1,87,16.79237901661699
1,88,16.79224007814389
1,89,16.79240236856299
1,90,16.79229545815059
1,91,16.792296359100305
1,92,16.792187912464385
1,93,16.792202688507047
1,94,16.792392903095248
1,95,16.792407414969034
1,96,16.79249284921869
1,97,16.79258409322759
1,98,16.79260279800974
1,99,16.792604706813535
1,100,16.792716105619434
