approx_value,iteration
9.90025,1
18.773675641952,2
60.141181258490846,3
132.4232165207701,4
220.4752219632203,5
330.08361332983407,6
451.0373792035261,7
564.3648907758161,8
692.4484418193782,9
818.2533591627443,10
861.3207499172033,11
897.4389123798496,12
1016.4796571990196,13
1127.2742564135474,14
1242.0659883043172,15
1326.345183333264,16
1430.8297474279334,17
1511.2540250372856,18
1577.0101486921635,19
1646.107817049266,20
1722.472101715262,21
1783.1237253934373,22
1828.5450735492143,23
1928.2385866667578,24
2008.0251781962836,25
2063.946719342881,26
2170.2020235050713,27
2217.663002384679,28
2277.4584965924387,29
2340.95373896199,30
2393.9676829328378,31
2463.299885201842,32
2508.6400935424404,33
2555.6038228735233,34
2598.494923541928,35
2637.7701854647366,36
2683.139682207546,37
2745.4472368600855,38
2785.4360627018687,39
2831.687440250438,40
2868.7728289334545,41
2900.762560227865,42
2932.422505672601,43
2957.709413370495,44
2973.7047864108963,45
3001.757476838644,46
3027.4632350717766,47
3059.116108153227,48
3079.6979432141825,49
3093.686553321541,50
3118.8651876067024,51
3149.4901901495814,52
3175.956120237631,53
3196.750683073174,54
3221.816208464652,55
3239.1019636059887,56
3253.5703812092916,57
3268.529356441017,58
3283.7859016873963,59
3307.057430150622,60
3322.522550494051,61
3329.215010289762,62
3341.8042015227247,63
3357.4343744517487,64
3369.54056683276,65
3376.812552226942,66
3389.7402345115265,67
3399.5599711004143,68
3409.3899327312665,69
3418.485110663041,70
3426.2043932698325,71
3433.3922823665735,72
3439.141150349298,73
3444.096205614346,74
3448.5100208042504,75
3454.782930681544,76
3460.104866655972,77
3465.772385749571,78
3468.2011329486736,79
3472.973273446607,80
3477.1212523476174,81
3480.111731729339,82
3483.0657614569777,83
3485.632018827084,84
3486.985096779772,85
3488.2972094949273,86
3489.5236078458274,87
3490.746922670668,88
3491.817762522419,89
3492.5978698972403,90
3493.253314752073,91
3494.3856205190996,92
3495.539844181797,93
3496.7607063429423,94
3497.7546928443085,95
3498.4710618016147,96
3499.6303797879063,97
3500.6706242601545,98
3501.456026128752,99
3502.223800263672,100
