node,iteration,delta
1,1,0.0
1,2,17.424999999999997
1,3,13.91557515244223
1,4,13.005312549778388
1,5,13.965696609494245
1,6,12.686617991081505
1,7,12.568393870668245
1,8,11.895093199191408
1,9,11.956650892176938
1,10,12.268526617026026
1,11,14.188395206076024
1,12,14.432031207418547
1,13,13.717355554086225
1,14,13.616611495952185
1,15,13.78359585424461
1,16,13.827229563537045
1,17,13.912936517305553
1,18,13.774569335374622
1,19,14.52790639727013
1,20,14.46037774992621
1,21,14.476744389226354
1,22,14.608314828677635
1,23,14.535888578411488
1,24,14.81693836759976
1,25,14.78546561659472
1,26,15.368566635435059
1,27,15.261310582216453
1,28,15.465919176647503
1,29,15.594065706451488
1,30,15.607178927676472
1,31,15.50648654637098
1,32,15.530485877164693
1,33,16.699655202732373
1,34,15.617279377734064
1,35,15.662797485416178
1,36,15.608270623356816
1,37,15.622161984721913
1,38,15.630821126787339
1,39,15.637394279045253
1,40,15.636572792665163
1,41,15.783439511819353
1,42,15.691308058691618
1,43,15.671819195930084
1,44,15.666539184806027
1,45,15.701528618511134
1,46,15.710264022130389
1,47,15.883217270775532
1,48,15.807139470921726
1,49,15.813863557618248
1,50,15.843176544261496
1,51,15.83831704109815
1,52,15.843501936281086
1,53,15.861357475965235
1,54,15.859437105136038
1,55,15.874268775364271
1,56,15.878986533915253
1,57,15.874491323035386
1,58,15.87222908421171
1,59,15.877374113256252
1,60,15.87630837472173
1,61,15.875650146450113
1,62,15.874853516977169
1,63,15.876156325780869
1,64,15.876020734244491
1,65,15.876927863361999
1,66,15.879074960381502
1,67,15.879998317088933
1,68,15.877185099063723
1,69,15.87740168625271
1,70,15.877194124430957
1,71,15.877233791325295
1,72,15.877067266250634
1,73,15.877584441230368
1,74,15.8775618476744
1,75,15.87740739675769
1,76,15.878066800332903
1,77,15.877284985064506
1,78,15.87766947948245
1,79,15.877884078110355
1,80,15.878084031585843
1,81,15.878139518459307
1,82,15.878758618965719
1,83,15.878446609305911
1,84,15.878102956088327
1,85,15.877867576144297
1,86,15.878138566153893
1,87,15.877991100966199
1,88,15.877930823807361
1,89,15.877845470585925
1,90,15.877999328799831
1,91,15.87790787430248
1,92,15.878112138252561
1,93,15.878086108835902
1,94,15.878170175749347
1,95,15.878017039006664
1,96,15.877986587374352
1,97,15.878002556711266
1,98,15.878078687200059
1,99,15.87803210498356
1,100,15.878165308469136
