node,iteration,delta
1,1,21.72190756646461
1,2,13.142198821165366
1,3,15.09527910256729
1,4,9.657728561573911
1,5,13.92393346827069
1,6,11.558773651793501
1,7,11.084126601476399
1,8,13.394130354281941
1,9,12.23713513628708
1,10,12.599717258955977
1,11,12.82637112133122
1,12,12.525269071865296
1,13,11.85669622867951
1,14,12.987621830344949
1,15,15.9453366022246
1,16,14.397265837607392
1,17,14.506798384451827
1,18,14.486669276893451
1,19,18.03335989854267
1,20,15.520315559832397
1,21,18.11742513740211
1,22,15.721910024072884
1,23,15.980149234063788
1,24,15.872460038157243
1,25,15.852568866011922
1,26,16.12129690236833
1,27,16.145802683465178
1,28,16.131724373534865
1,29,16.39152520850692
1,30,16.163013689490782
1,31,16.282580726749842
1,32,16.31251107433559
1,33,16.37442999073278
1,34,16.345427384906515
1,35,16.351321677078943
1,36,16.477073684552806
1,37,16.69912239537385
1,38,16.6114208628984
1,39,16.631810419884403
1,40,16.659168892855575
1,41,16.622199779868453
1,42,16.63131154409993
1,43,16.636394733134324
1,44,16.643526438134643
1,45,16.63898459060985
1,46,16.67688444873096
1,47,16.680285238185036
1,48,16.759844544571393
1,49,16.736043832200693
1,50,16.72187212075579
1,51,16.71246508820815
1,52,16.72242831525091
1,53,16.72676930638943
1,54,16.73165427965054
1,55,16.733823488497563
1,56,16.750308662404933
1,57,16.79597413899566
1,58,16.762339625907543
1,59,16.771146911881146
1,60,16.778851630448884
1,61,16.79619218426373
1,62,16.776372157374794
1,63,16.77759003670826
1,64,16.77998455395837
1,65,16.782523836161232
1,66,16.77986677791995
1,67,16.780492957827988
1,68,16.782179500565803
1,69,16.780661099048785
1,70,16.781708705442014
1,71,16.783603661461
1,72,16.78240182092634
1,73,16.78261023909957
1,74,16.78282154197575
1,75,16.78284435443112
1,76,16.78304643669881
1,77,16.783346300874484
1,78,16.783515850009252
1,79,16.783629610127292
1,80,16.783920173186488
1,81,16.783646403779727
1,82,16.78371787114287
1,83,16.783709574735155
1,84,16.78421454323285
1,85,16.784084492593536
1,86,16.784071818215153
1,87,16.783949663032217
1,88,16.783909728024497
1,89,16.784242660456158
1,90,16.783893673885444
1,91,16.783978301349094
1,92,16.783902613296135
1,93,16.7840906178173
1,94,16.78388246236804
1,95,16.783969760622938
1,96,16.78391473657922
1,97,16.784062409486864
1,98,16.783906623321883
1,99,16.783935463262083
1,100,16.783933524641952
