coefficients,shift,node,intercept,state,iteration,time
"{""volume[1]"":0.0}","[[0.0,1]]",1,0.0,"{""volume[1]"":0.0}",0,0.0
"{""volume[1]"":0.0}","[[0.0,2]]",1,0.0,"{""volume[1]"":90.0}",1,0.0013740062713623047
"{""volume[1]"":0.0}","[[0.0,3]]",1,0.0,"{""volume[1]"":70.0}",1,0.0017240047454833984
"{""volume[1]"":0.0}","[[0.0,4]]",1,0.0,"{""volume[1]"":50.0}",1,0.0020749568939208984
"{""volume[1]"":0.0}","[[0.0,5]]",1,0.0,"{""volume[1]"":70.0}",2,0.0031681060791015625
"{""volume[1]"":0.0}","[[0.0,6]]",1,0.0,"{""volume[1]"":50.0}",2,0.003486156463623047
"{""volume[1]"":-0.5}","[[0.0,7]]",1,20.0,"{""volume[1]"":30.0}",2,0.003854990005493164
"{""volume[1]"":-0.2475}","[[0.0,8]]",1,19.8,"{""volume[1]"":70.0}",2,0.004225015640258789
"{""volume[1]"":-0.245025}","[[0.0,9]]",1,22.05225,"{""volume[1]"":50.0}",2,0.004567146301269531
"{""volume[1]"":-1.121287375}","[[0.0,10]]",1,54.40598,"{""volume[1]"":20.0}",3,0.006018161773681641
"{""volume[1]"":-1.555037250625}","[[0.0,11]]",1,77.21080268125,"{""volume[1]"":0.0}",3,0.006407976150512695
"{""volume[1]"":-1.7697434390593751}","[[0.0,12]]",1,93.34639148265624,"{""volume[1]"":10.0}",3,0.0067980289459228516
"{""volume[1]"":-0.9973103773343907}","[[0.0,13]]",1,85.97727010394655,"{""volume[1]"":50.0}",3,0.00716400146484375
"{""volume[1]"":-1.369691639114914}","[[0.0,14]]",1,110.17252981978964,"{""volume[1]"":30.0}",3,0.007554054260253906
"{""volume[1]"":-0.6779973613618825}","[[0.0,15]]",1,79.87532310165236,"{""volume[1]"":70.0}",3,0.007951974868774414
"{""volume[1]"":-1.0136060552360142}","[[0.0,16]]",1,112.70143415948762,"{""volume[1]"":50.0}",3,0.008335113525390625
"{""volume[1]"":-0.8373436912159589}","[[0.0,17]]",1,108.66537088703646,"{""volume[1]"":90.0}",4,0.010043144226074219
"{""volume[1]"":-0.9144851271518997}","[[0.0,18]]",1,121.24713791044783,"{""volume[1]"":60.0}",4,0.010430097579956055
"{""volume[1]"":-0.9526701379401903}","[[0.0,19]]",1,130.98126377253956,"{""volume[1]"":30.0}",4,0.010827064514160156
"{""volume[1]"":-1.4715717182803942}","[[0.0,20]]",1,155.24001676920628,"{""volume[1]"":0.0}",4,0.01121211051940918
