node,iteration,delta
1,1,2.475
1,2,5.433918199874995
1,3,7.3167776081369595
1,4,18.23977490246437
1,5,15.258763320987924
1,6,11.983355503247523
1,7,12.46015836455436
1,8,13.397133321601814
1,9,12.328017721035962
1,10,11.797784047721564
1,11,11.386642144546784
1,12,13.779650062967761
1,13,14.651972617293353
1,14,13.537516339643616
1,15,14.26617774888119
1,16,14.149494501455564
1,17,14.308664577896849
1,18,15.357219685669676
1,19,14.806239443206323
1,20,15.221111025006138
1,21,15.49036857724559
1,22,15.065339743995992
1,23,15.102086570330528
1,24,15.1254456470231
1,25,18.76954157424717
1,26,15.45967257139489
1,27,15.925871230536728
1,28,15.72671004577802
1,29,15.741778429720966
1,30,15.717926162449572
1,31,15.741151422980664
1,32,15.733484827586523
1,33,15.717439056491713
1,34,15.771495771692543
1,35,15.91172522946897
1,36,15.754964280943284
1,37,15.768126498292474
1,38,15.761240198290068
1,39,15.767698248704818
1,40,15.765676427147895
1,41,15.93007096739538
1,42,15.824799528926917
1,43,15.778023191346222
1,44,15.788075466577084
1,45,15.791144355611152
1,46,15.80643055293271
1,47,15.796646850722567
1,48,15.829448872624425
1,49,15.808069310486246
1,50,15.812314073958845
1,51,15.822846194949364
1,52,15.81436686124951
1,53,15.815313247844614
1,54,15.816475093732663
1,55,15.817736481342763
1,56,15.818092504648575
1,57,15.818327103060795
1,58,15.818243416011683
1,59,15.817998721157153
1,60,15.82062102747048
1,61,15.819942310944924
1,62,15.826515983077712
1,63,15.823044517904265
1,64,15.823239987751606
1,65,15.823335436180543
1,66,15.823847589332956
1,67,15.824107460296517
1,68,15.82453433614478
1,69,15.824526599916794
1,70,15.82400252294002
1,71,15.82489884155504
1,72,15.825327042492233
1,73,15.825111745561799
1,74,15.825330162072817
1,75,15.825205734850044
1,76,15.825522638496807
1,77,15.82572439923291
1,78,15.825673056477257
1,79,15.82580261534929
1,80,15.82597402804575
1,81,15.826066866162932
1,82,15.82619819596033
1,83,15.826284749864186
1,84,15.826530478570788
1,85,15.826299325506255
1,86,15.82630313575416
1,87,15.826301782997945
1,88,15.82630068383392
1,89,15.826326043216
1,90,15.826248053993197
1,91,15.826279800092891
1,92,15.826268974766919
1,93,15.826281342929917
1,94,15.826364328807927
1,95,15.8263789159476
1,96,15.82643279006544
1,97,15.826445996782866
1,98,15.826521229856894
1,99,15.826545710159763
1,100,15.826568406891624
