node,iteration,delta
1,1,0.0
1,2,3.4676388018709647
1,3,7.632420562514838
1,4,9.31491828844461
1,5,13.837136931700655
1,6,12.412957202096976
1,7,13.027293325473039
1,8,13.151402562850492
1,9,13.956185650776263
1,10,14.577349341158566
1,11,13.509061016651657
1,12,12.982354325739081
1,13,12.511802781253323
1,14,12.898375828020477
1,15,12.857053208348248
1,16,13.884209379731544
1,17,15.797918554966998
1,18,15.858886996933165
1,19,16.509208978350273
1,20,15.818419286394402
1,21,16.093999174675872
1,22,16.95693586451739
1,23,16.865434226560552
1,24,17.046152669024394
1,25,16.970034111014797
1,26,16.94055103371855
1,27,16.93645927098936
1,28,16.95815012823752
1,29,16.99450881447507
1,30,17.211662229317113
1,31,17.040780688629837
1,32,17.035041841647597
1,33,17.035691165334924
1,34,17.162199775788565
1,35,17.1567477085986
1,36,17.158778328401922
1,37,17.163813047275255
1,38,17.17100070261384
1,39,17.188840847710367
1,40,17.266037941048467
1,41,17.23999187936775
1,42,17.30994122726304
1,43,17.303992895116778
1,44,17.330181255043158
1,45,17.33118084990963
1,46,17.34172806775217
1,47,17.343701195402218
1,48,17.534170600346044
1,49,17.466969077230146
1,50,17.48744256806964
1,51,17.508598169465387
1,52,17.499024604917224
1,53,17.501469109773268
1,54,17.506778330945934
1,55,17.538078918638206
1,56,17.548233113349625
1,57,17.547126264983348
1,58,17.550939804131502
1,59,17.55219186795577
1,60,17.553653109174746
1,61,17.554058630623558
1,62,17.557177022744753
1,63,17.557559083041866
1,64,17.621430736530726
1,65,17.578796100367185
1,66,17.586255323954617
1,67,17.593895494394957
1,68,17.59859572516376
1,69,17.603003368127162
1,70,17.60695192254883
1,71,17.605528362068526
1,72,17.60570518445337
1,73,17.61371335861466
1,74,17.606672476700908
1,75,17.607462436621375
1,76,17.61097106458533
1,77,17.608894429689087
1,78,17.610001384069278
1,79,17.609688643998055
1,80,17.6100109569569
1,81,17.61231195527637
1,82,17.61130965903891
1,83,17.610684478342336
1,84,17.608116997511047
1,85,17.609822774164655
1,86,17.613258116682346
1,87,17.61020953552014
1,88,17.610658021848536
1,89,17.610416539574118
1,90,17.610279735054775
1,91,17.610372448504506
1,92,17.610521134581347
1,93,17.61120957210059
1,94,17.61137677046753
1,95,17.611002095000487
1,96,17.611126536966196
1,97,17.61116438168787
1,98,17.611322995488024
1,99,17.611359232719224
1,100,17.611345820205656
