node,iteration,delta
1,1,2.4975
1,2,12.86741651625298
1,3,14.867605222832246
1,4,12.728546355839981
1,5,13.062136645137485
1,6,14.770231028050944
1,7,11.340303149386898
1,8,13.787391634117142
1,9,15.941301266725674
1,10,14.634316747149796
1,11,14.462911550804705
1,12,14.459187388314973
1,13,14.523716118044717
1,14,14.717648085985388
1,15,14.619478336501544
1,16,16.34288640676219
1,17,16.224947310619214
1,18,16.32863544047757
1,19,16.484035305835192
1,20,16.33431835766693
1,21,16.495068184960218
1,22,16.53174178938977
1,23,16.49023738394854
1,24,16.64888428870303
1,25,16.644293224171804
1,26,16.644452423313965
1,27,16.625082147587648
1,28,16.62608081128559
1,29,16.66613957305958
1,30,16.670097716408335
1,31,16.66472617495738
1,32,16.668905202017243
1,33,16.67836195618733
1,34,16.67470929828457
1,35,16.677630125471524
1,36,16.683859648181425
1,37,16.72858627526304
1,38,16.75819431005695
1,39,16.714575304327923
1,40,17.164259182655144
1,41,17.226468646868085
1,42,17.242585404510066
1,43,17.28730182267458
1,44,17.46103286701819
1,45,17.427041568960107
1,46,17.549373743410314
1,47,17.46245456110242
1,48,17.470218430588574
1,49,17.475910485106766
1,50,17.480583270463825
1,51,17.481395792825765
1,52,17.48272493273089
1,53,17.493340634579766
1,54,17.48551814740577
1,55,17.4905054925093
1,56,17.494532701638832
1,57,17.856061556749154
1,58,17.545212542686556
1,59,17.533086106996166
1,60,17.57671989680273
1,61,17.631089537600587
1,62,17.586475631868552
1,63,17.628413849902728
1,64,17.633905549178905
1,65,17.6403155422326
1,66,17.62203689485787
1,67,17.623273970918177
1,68,17.62188118713317
1,69,17.625596607361274
1,70,17.62551222010069
1,71,17.62548526974834
1,72,17.62674636442776
1,73,17.628648384786914
1,74,17.62852381129548
1,75,17.628910874807247
1,76,17.629295785480338
1,77,17.62988082767754
1,78,17.629758853486152
1,79,17.629472915288375
1,80,17.62901321607032
1,81,17.62921580270796
1,82,17.629189755797057
1,83,17.629332563341393
1,84,17.62939455877782
1,85,17.62965325296716
1,86,17.631103980857432
1,87,17.629634116117245
1,88,17.630212043141483
1,89,17.62956511963708
1,90,17.634216253412774
1,91,17.630170366470622
1,92,17.630460689903686
1,93,17.630511368660336
1,94,17.630337595558302
1,95,17.630303047804404
1,96,17.631039996910943
1,97,17.630681742283173
1,98,17.630368401701077
1,99,17.633263879326705
1,100,17.630795012293873
