approx_value,iteration
17.482505000000007,1
57.41327379861303,2
117.32582842822104,3
194.35288669817666,4
301.6773090537009,5
425.54659875671456,6
498.7551966945074,7
545.6658279223144,8
690.0945450979725,9
875.8352309526174,10
1010.8085312026934,11
1222.4790152667724,12
1455.3287712119145,13
1667.3359001173774,14
1899.3259637143738,15
2094.3327065295753,16
2223.7919394835844,17
2354.421000185364,18
2617.698339187144,19
2743.588834965774,20
3027.7962906459798,21
3076.607818744143,22
3358.773097006502,23
3630.1300527326584,24
3855.364786814997,25
4140.902105717161,26
4340.959872251358,27
4635.2840494256525,28
4924.403055072038,29
5070.287679016314,30
5336.07675750313,31
5574.315712831306,32
5757.737889617945,33
6003.7740328469445,34
6176.297945189644,35
6422.66931418991,36
6587.68238134811,37
6816.721583975504,38
6938.395580476084,39
7160.38679009611,40
7361.8419541939165,41
7567.719233919166,42
7647.99034928103,43
7763.902358508689,44
8016.9093645830435,45
8236.123172099748,46
8411.837598437898,47
8568.148120595557,48
8774.14166466808,49
8935.307021407067,50
9112.465157365443,51
9286.999662637423,52
9473.939695707086,53
9541.410462998396,54
9732.978206513402,55
9905.24317994554,56
10004.925606463199,57
10160.066704580262,58
10330.58895129574,59
10500.809312743353,60
10585.577059996933,61
10733.052933100891,62
10897.738364631081,63
11005.306474121095,64
11166.840729500644,65
11278.182538390347,66
11380.455620390916,67
11509.12639487936,68
11603.712556406717,69
11745.433253932188,70
11911.36831928019,71
12106.562297207285,72
12264.414914245486,73
12409.261282023153,74
12518.524697644763,75
12614.842755787517,76
12739.668436025306,77
12843.638696137044,78
12936.994843626799,79
13043.847428184792,80
13155.806123936398,81
13288.857451833455,82
13384.286707552772,83
13436.844797816735,84
13481.514089158498,85
13547.073138392925,86
13618.979652234619,87
13682.734272557227,88
13736.556432751739,89
13794.247754537166,90
13882.468311417699,91
13983.670732746694,92
14060.33744535831,93
14118.61886400513,94
14222.425668469114,95
14284.827092567331,96
14367.084357554966,97
14443.640628890324,98
14541.961063552815,99
14616.63358538712,100
