approx_value,iteration
19.9775075,1
61.48414290927447,2
117.42295673596584,3
206.01120624429595,4
302.02635958541566,5
423.89632563204185,6
565.3623510495377,7
724.111954337721,8
897.7179903707552,9
1086.8047354186515,10
1288.2097609231585,11
1413.0159956549346,12
1572.2718618439137,13
1769.1770178933311,14
1968.802769089382,15
2018.0938981733013,16
2250.695642693745,17
2486.286975009453,18
2620.189322289668,19
2657.9662394699144,20
2889.671943091349,21
3117.660877115308,22
3431.3146884494527,23
3672.892545021674,24
3941.5575341106405,25
4194.4825012259735,26
4422.651131111948,27
4597.333052863194,28
4831.742722259559,29
5027.362032348829,30
5181.229748337755,31
5458.811308922466,32
5660.599440223006,33
5740.746023297442,34
5961.678659755814,35
6232.8244137161455,36
6394.589969499792,37
6639.181341768493,38
6786.281860245099,39
7006.40258888561,40
7240.074178551249,41
7389.297762572158,42
7614.700866254094,43
7801.739481954377,44
7953.196349148524,45
8151.398038808186,46
8341.53256184149,47
8478.235108246427,48
8602.54798742352,49
8807.712539262468,50
9001.348882261867,51
9137.859423878335,52
9346.977331859829,53
9457.834428620363,54
9635.755110307062,55
9756.373433536082,56
9882.795934966558,57
9999.122250923072,58
10187.552083469476,59
10355.970669246803,60
10441.997397567153,61
10557.326289610104,62
10654.984369982842,63
10856.223788908352,64
11000.074813328345,65
11144.00965532323,66
11284.929160919462,67
11385.052860254382,68
11490.284833570504,69
11668.458152530724,70
11818.073015880444,71
11965.217515305605,72
12078.664983704522,73
12180.431515500231,74
12340.930163632212,75
12483.293733689785,76
12612.346893243095,77
12683.802900194632,78
12805.035363957304,79
12942.621610381655,80
13089.06942547904,81
13214.32087013912,82
13308.078655830725,83
13376.114409693098,84
13473.039746759663,85
13576.696459511935,86
13697.119957426108,87
13825.15354198493,88
13933.650402920743,89
14060.536435327587,90
14159.314231885266,91
14258.036575074577,92
14356.252343682918,93
14460.898696444061,94
14559.846260650778,95
14671.39252710513,96
14745.176115124767,97
14826.21659776135,98
14895.849830016516,99
14987.795481911955,100
