coefficients,shift,node,intercept,state,iteration,time
"{""volume[1]"":0.0}","[[0.0,1]]",1,0.0,"{""volume[1]"":0.0}",0,0.0
"{""volume[1]"":-1.0}","[[0.0,2]]",1,35.0,"{""volume[1]"":0.0}",1,0.001734018325805664
"{""volume[1]"":-1.4995}","[[0.0,3]]",1,59.97500000000001,"{""volume[1]"":10.0}",1,0.0022089481353759766
"{""volume[1]"":-0.74900025}","[[0.0,4]]",1,57.42752,"{""volume[1]"":50.0}",1,0.002596139907836914
"{""volume[1]"":-1.374125624875}","[[0.0,5]]",1,86.16004624250002,"{""volume[1]"":10.0}",2,0.0037691593170166016
"{""volume[1]"":-1.0605013745000624}","[[0.0,6]]",1,89.83074932938064,"{""volume[1]"":50.0}",2,0.004169940948486328
"{""volume[1]"":-0.5297204365627812}","[[0.0,7]]",1,65.76207238690907,"{""volume[1]"":90.0}",2,0.004531145095825195
"{""volume[1]"":-0.7943157946258905}","[[0.0,8]]",1,93.31832038290796,"{""volume[1]"":70.0}",2,0.004882097244262695
"{""volume[1]"":-0.7935214788312647}","[[0.0,9]]",1,101.1602168508377,"{""volume[1]"":50.0}",2,0.005231142044067383
"{""volume[1]"":-1.3963639786762168}","[[0.0,10]]",1,128.13177706046255,"{""volume[1]"":20.0}",3,0.0065021514892578125
"{""volume[1]"":-1.6974838073487701}","[[0.0,11]]",1,147.07913106293898,"{""volume[1]"":0.0}",3,0.006860017776489258
"{""volume[1]"":-1.8478931617707106}","[[0.0,12]]",1,161.49525707875472,"{""volume[1]"":10.0}",3,0.0072400569915771484
"{""volume[1]"":-1.3193866129806866}","[[0.0,13]]",1,155.95980868344117,"{""volume[1]"":50.0}",3,0.00757908821105957
"{""volume[1]"":-1.5820562474883229}","[[0.0,14]]",1,176.48847598183536,"{""volume[1]"":30.0}",3,0.007910966873168945
"{""volume[1]"":-1.4492707088042702}","[[0.0,15]]",1,179.99402266340257,"{""volume[1]"":70.0}",3,0.008240938186645508
"{""volume[1]"":-1.447821438095466}","[[0.0,16]]",1,189.81402864073914,"{""volume[1]"":50.0}",3,0.008543014526367188
"{""volume[1]"":-1.4463736166573704}","[[0.0,17]]",1,199.6242146120984,"{""volume[1]"":50.0}",4,0.009927034378051758
"{""volume[1]"":-1.444927243040713}","[[0.0,18]]",1,209.42459039748627,"{""volume[1]"":80.0}",4,0.010281085968017578
"{""volume[1]"":-1.4434823157976722}","[[0.0,19]]",1,219.2151658070888,"{""volume[1]"":50.0}",4,0.010591983795166016
"{""volume[1]"":-1.4420388334818746}","[[0.0,20]]",1,228.99595064128172,"{""volume[1]"":80.0}",4,0.010895967483520508
"{""volume[1]"":-1.4405967946483926}","[[0.0,21]]",1,238.76695469064043,"{""volume[1]"":50.0}",4,0.011227130889892578
"{""volume[1]"":-1.4391561978537442}","[[0.0,22]]",1,248.52818773594979,"{""volume[1]"":80.0}",4,0.011543989181518555
"{""volume[1]"":-1.4377170416558904}","[[0.0,23]]",1,258.27965954821383,"{""volume[1]"":110.0}",4,0.011857032775878906
"{""volume[1]"":-1.4362793246142345}","[[0.0,24]]",1,268.0213798886656,"{""volume[1]"":80.0}",4,0.012180089950561523
"{""volume[1]"":-1.4348430452896201}","[[0.0,25]]",1,277.75335850877696,"{""volume[1]"":50.0}",4,0.012478113174438477
"{""volume[1]"":-1.4334082022443306}","[[0.0,26]]",1,287.47560515026817,"{""volume[1]"":60.0}",5,0.014081001281738281
"{""volume[1]"":-1.4319747940420864}","[[0.0,27]]",1,297.1881295451179,"{""volume[1]"":30.0}",5,0.01444101333618164
"{""volume[1]"":-1.4305428192480443}","[[0.0,28]]",1,306.89094141557274,"{""volume[1]"":60.0}",5,0.01476597785949707
"{""volume[1]"":-1.4291122764287962}","[[0.0,29]]",1,316.58405047415715,"{""volume[1]"":90.0}",5,0.015079975128173828
"{""volume[1]"":-1.4276831641523675}","[[0.0,30]]",1,326.267466423683,"{""volume[1]"":60.0}",5,0.015404939651489258
"{""volume[1]"":-1.426255480988215}","[[0.0,31]]",1,335.9411989572593,"{""volume[1]"":30.0}",5,0.015711069107055664
"{""volume[1]"":-1.7124146127536135}","[[0.0,32]]",1,354.2328193756937,"{""volume[1]"":0.0}",5,0.01606011390686035
"{""volume[1]"":-1.8553510990704298}","[[0.0,33]]",1,368.2180535842051,"{""volume[1]"":20.0}",5,0.016453027725219727
"{""volume[1]"":-1.639162486739293}","[[0.0,34]]",1,368.1575444814235,"{""volume[1]"":50.0}",5,0.016785144805908203
"{""volume[1]"":-1.8187616621262768}","[[0.0,35]]",1,383.25676136999317,"{""volume[1]"":20.0}",5,0.017158031463623047
"{""volume[1]"":-1.8169429004641504}","[[0.0,36]]",1,392.8735046086232,"{""volume[1]"":50.0}",5,0.017475128173828125
"{""volume[1]"":-1.8151259575636862}","[[0.0,37]]",1,402.4806311040146,"{""volume[1]"":50.0}",6,0.019283056259155273
"{""volume[1]"":-1.9066554158030613}","[[0.0,38]]",1,414.87848799881874,"{""volume[1]"":20.0}",6,0.019709110260009766
"{""volume[1]"":-1.9047487603872582}","[[0.0,39]]",1,424.46360951081994,"{""volume[1]"":50.0}",6,0.020055055618286133
"{""volume[1]"":-1.9514220058134355}","[[0.0,40]]",1,435.49648572690603,"{""volume[1]"":20.0}",6,0.020440101623535156
"{""volume[1]"":-1.949470583807622}","[[0.0,41]]",1,445.06098924117913,"{""volume[1]"":50.0}",6,0.020763158798217773
"{""volume[1]"":-1.9475211132238144}","[[0.0,42]]",1,454.61592825193793,"{""volume[1]"":80.0}",6,0.021091938018798828
"{""volume[1]"":-1.9455735921105906}","[[0.0,43]]",1,464.161312323686,"{""volume[1]"":50.0}",6,0.021439075469970703
"{""volume[1]"":-1.94362801851848}","[[0.0,44]]",1,473.6971510113623,"{""volume[1]"":80.0}",6,0.021778106689453125
"{""volume[1]"":-1.9416843904999614}","[[0.0,45]]",1,483.2234538603509,"{""volume[1]"":50.0}",6,0.022098064422607422
"{""volume[1]"":-1.9397427061094614}","[[0.0,46]]",1,492.7402304064906,"{""volume[1]"":80.0}",6,0.02242112159729004
"{""volume[1]"":-1.937802963403352}","[[0.0,47]]",1,502.2474901760841,"{""volume[1]"":50.0}",6,0.02272510528564453
"{""volume[1]"":-1.9679325802199743}","[[0.0,48]]",1,512.7072652793088,"{""volume[1]"":20.0}",6,0.02308797836303711
"{""volume[1]"":-1.9659646476397543}","[[0.0,49]]",1,522.1945580140296,"{""volume[1]"":50.0}",6,0.02343916893005371
"{""volume[1]"":-1.9819993414960573}","[[0.0,50]]",1,532.2123832111338,"{""volume[1]"":0.0}",7,0.025671005249023438
"{""volume[1]"":-1.9800173421545613}","[[0.0,51]]",1,541.6801708279227,"{""volume[1]"":30.0}",7,0.026015043258666992
"{""volume[1]"":-1.9890186624062034}","[[0.0,52]]",1,551.4679307849086,"{""volume[1]"":0.0}",7,0.026391029357910156
"{""volume[1]"":-1.987029643743797}","[[0.0,53]]",1,560.9164628541237,"{""volume[1]"":30.0}",7,0.026725053787231445
"{""volume[1]"":-1.9925213070500267}","[[0.0,54]]",1,570.5799071797687,"{""volume[1]"":0.0}",7,0.027111053466796875
"{""volume[1]"":-1.9905287857429768}","[[0.0,55]]",1,580.009327272589,"{""volume[1]"":30.0}",7,0.027472972869873047
"{""volume[1]"":-1.9885382569572339}","[[0.0,56]]",1,589.4293179453164,"{""volume[1]"":60.0}",7,0.027785062789916992
"{""volume[1]"":-1.9865497187002765}","[[0.0,57]]",1,598.839888627371,"{""volume[1]"":30.0}",7,0.028085947036743164
"{""volume[1]"":-1.992281584490788}","[[0.0,58]]",1,608.4726012040201,"{""volume[1]"":0.0}",7,0.02844405174255371
"{""volume[1]"":-1.9951446514531486}","[[0.0,59]]",1,618.0097890592216,"{""volume[1]"":0.0}",7,0.028790950775146484
"{""volume[1]"":-1.9931495068016953}","[[0.0,60]]",1,627.3917792701624,"{""volume[1]"":30.0}",7,0.029130935668945312
"{""volume[1]"":-1.9955781786474467}","[[0.0,61]]",1,636.8970421314689,"{""volume[1]"":0.0}",7,0.029495954513549805
"{""volume[1]"":-1.9967913002343995}","[[0.0,62]]",1,646.3564060823054,"{""volume[1]"":0.0}",7,0.029862165451049805
"{""volume[1]"":-1.9973972544670826}","[[0.0,63]]",1,655.7881320422106,"{""volume[1]"":20.0}",7,0.030276060104370117
"{""volume[1]"":-1.9953998572126155}","[[0.0,64]]",1,665.1323439101684,"{""volume[1]"":50.0}",7,0.030614137649536133
"{""volume[1]"":-1.9934044573554028}","[[0.0,65]]",1,674.4672115662582,"{""volume[1]"":110.0}",8,0.032896995544433594
"{""volume[1]"":-1.9914110528980475}","[[0.0,66]]",1,683.792744354692,"{""volume[1]"":80.0}",8,0.03328108787536621
"{""volume[1]"":-1.9894196418451495}","[[0.0,67]]",1,693.1089516103373,"{""volume[1]"":110.0}",8,0.03362607955932617
"{""volume[1]"":-1.9874302222033045}","[[0.0,68]]",1,702.4158426587269,"{""volume[1]"":80.0}",8,0.03395509719848633
"{""volume[1]"":-1.985442791981101}","[[0.0,69]]",1,711.7134268160682,"{""volume[1]"":110.0}",8,0.034297943115234375
"{""volume[1]"":-1.9834573491891199}","[[0.0,70]]",1,721.0017133892521,"{""volume[1]"":140.0}",8,0.034626007080078125
"{""volume[1]"":-1.9814738918399308}","[[0.0,71]]",1,730.2807116758629,"{""volume[1]"":110.0}",8,0.03494405746459961
"{""volume[1]"":-1.9794924179480908}","[[0.0,72]]",1,739.5504309641872,"{""volume[1]"":80.0}",8,0.03527712821960449
"{""volume[1]"":-1.9775129255301427}","[[0.0,73]]",1,748.810880533223,"{""volume[1]"":50.0}",8,0.035590171813964844
"{""volume[1]"":-1.9755354126046125}","[[0.0,74]]",1,758.0620696526897,"{""volume[1]"":80.0}",8,0.03591108322143555
"{""volume[1]"":-1.973559877192008}","[[0.0,75]]",1,767.304007583037,"{""volume[1]"":110.0}",8,0.03625297546386719
"{""volume[1]"":-1.971586317314816}","[[0.0,76]]",1,776.5367035754539,"{""volume[1]"":140.0}",8,0.03659510612487793
"{""volume[1]"":-1.9696147309975012}","[[0.0,77]]",1,785.7601668718785,"{""volume[1]"":110.0}",8,0.03692197799682617
"{""volume[1]"":-1.9676451162665036}","[[0.0,78]]",1,794.9744067050066,"{""volume[1]"":80.0}",8,0.037261009216308594
"{""volume[1]"":-1.9656774711502372}","[[0.0,79]]",1,804.1794322983015,"{""volume[1]"":50.0}",8,0.03758597373962402
"{""volume[1]"":-1.9818558968395434}","[[0.0,80]]",1,813.919575960817,"{""volume[1]"":20.0}",8,0.0379941463470459
