approx_value,iteration
0.0,1
0.0,2
17.922436956804205,3
44.484199157166046,4
77.4236994450625,5
112.39163706314261,6
124.0088497625544,7
127.142142009121,8
127.57556712135066,9
134.36449540080406,10
139.7830132220165,11
142.46642115314353,12
144.34527706269606,13
145.25990856016324,14
145.77710419513483,15
146.01341940657215,16
146.01341940657215,17
146.20767618895792,18
148.2950838351655,19
149.4767864427643,20
150.1287445963217,21
150.76942768937732,22
151.10898035127084,23
151.50373602533068,24
151.567961214238,25
154.41197917967287,26
155.19091684874633,27
157.6021323791658,28
158.24984695354584,29
158.44334338603866,30
158.73324548968333,31
158.7987350846069,32
158.85689040494762,33
159.8638334629171,34
160.3877256954774,35
160.42029493574066,36
160.57156069520963,37
160.589696624478,38
160.6066683496456,39
160.61088824588052,40
160.62285793414648,41
160.86595391352,42
161.13566835341737,43
161.17246566580667,44
161.68511891834382,45
161.81448328637535,46
162.12304888632474,47
162.53150924035182,48
162.77894924854218,49
162.90651160809102,50
163.1251918437899,51
163.28626603588805,52
163.41963793319425,53
163.46647422606773,54
163.59530305517038,55
163.62107314776975,56
163.68304444995687,57
163.71540693636513,58
163.7511847931634,59
163.77443931455042,60
163.7981707341383,61
163.82589249090904,62
163.84569685327818,63
163.86938173676717,64
163.88971189733348,65
163.9027467234804,66
163.90965739497548,67
163.92201525335054,68
163.9357608630558,69
163.94723483292162,70
163.95264699767188,71
163.96596939140977,72
163.97426499381586,73
163.9803466069145,74
163.98870338906204,75
163.99591595867588,76
164.0025148032483,77
164.0137884187182,78
164.01979320950423,79
164.02632148901918,80
164.02954533860884,81
164.03278124401697,82
164.03988097628994,83
164.0433070474366,84
164.05052994398915,85
164.0552696664385,86
164.05991353336486,87
164.0636437105705,88
164.06823988843462,89
164.07161346961828,90
164.07741816896907,91
164.08623479680745,92
164.0932743062262,93
164.1016802382366,94
164.10734092238528,95
164.11333759325908,96
164.11717344071482,97
164.1240413548681,98
164.12872387974085,99
164.13183392556323,100
