coefficients,shift,node,intercept,state,iteration,time
"{""volume[1]"":0.0}","[[0.0,1]]",1,0.0,"{""volume[1]"":0.0}",0,0.0
"{""volume[1]"":-1.0}","[[0.0,2]]",1,35.0,"{""volume[1]"":0.0}",1,5.818647146224976
"{""volume[1]"":-1.495}","[[0.0,3]]",1,59.75000000000001,"{""volume[1]"":10.0}",1,6.5777411460876465
"{""volume[1]"":-0.740025}","[[0.0,4]]",1,56.777,"{""volume[1]"":50.0}",1,6.578011989593506
"{""volume[1]"":-0.366312375}","[[0.0,5]]",1,42.757110000000004,"{""volume[1]"":70.0}",2,6.75131893157959
"{""volume[1]"":-0.547637000625}","[[0.0,6]]",1,60.2953869375,"{""volume[1]"":50.0}",2,6.751610040664673
"{""volume[1]"":-0.771080315309375}","[[0.0,7]]",1,74.2708267619375,"{""volume[1]"":30.0}",2,6.7518391609191895
"{""volume[1]"":-0.6527650713875156}","[[0.0,8]]",1,76.45605971815968,"{""volume[1]"":70.0}",2,6.752077102661133
"{""volume[1]"":-0.6462374206736404}","[[0.0,9]]",1,82.15387332771448,"{""volume[1]"":50.0}",2,6.752299070358276
"{""volume[1]"":-1.319887523233452}","[[0.0,10]]",1,109.9345841297683,"{""volume[1]"":0.0}",3,6.7532219886779785
"{""volume[1]"":-0.9732318472340107}","[[0.0,11]]",1,113.2863656968017,"{""volume[1]"":40.0}",3,6.753458023071289
"{""volume[1]"":-1.4817497643808353}","[[0.0,12]]",1,137.51850675221698,"{""volume[1]"":20.0}",3,6.75370192527771
"{""volume[1]"":-1.7334661333685135}","[[0.0,13]]",1,154.13933768363938,"{""volume[1]"":0.0}",3,6.753937005996704
"{""volume[1]"":-1.3580657360174142}","[[0.0,14]]",1,154.0984144585663,"{""volume[1]"":30.0}",3,6.754158020019531
"{""volume[1]"":-1.34448507865724}","[[0.0,15]]",1,162.55743031398063,"{""volume[1]"":70.0}",3,6.7543840408325195
"{""volume[1]"":-1.3310402278706677}","[[0.0,16]]",1,170.93185601084082,"{""volume[1]"":50.0}",3,6.754610061645508
"{""volume[1]"":-1.6588649127959805}","[[0.0,17]]",1,189.45659006685298,"{""volume[1]"":0.0}",4,6.75573992729187
"{""volume[1]"":-1.8211381318340103}","[[0.0,18]]",1,202.9278802111641,"{""volume[1]"":0.0}",4,6.7559709548950195
"{""volume[1]"":-1.80292675051567}","[[0.0,19]]",1,210.89860140905245,"{""volume[1]"":30.0}",4,6.756170034408569
"{""volume[1]"":-1.8924487415052567}","[[0.0,20]]",1,222.0161531498042,"{""volume[1]"":0.0}",4,6.756385087966919
"{""volume[1]"":-1.936762127045102}","[[0.0,21]]",1,231.6931278069531,"{""volume[1]"":0.0}",4,6.7566070556640625
"{""volume[1]"":-1.9586972528873257}","[[0.0,22]]",1,240.6152789422638,"{""volume[1]"":20.0}",4,6.756824016571045
"{""volume[1]"":-1.9391102803584523}","[[0.0,23]]",1,248.20912615284115,"{""volume[1]"":50.0}",4,6.757022142410278
"{""volume[1]"":-1.9197191775548679}","[[0.0,24]]",1,255.7270348913127,"{""volume[1]"":80.0}",4,6.757224082946777
"{""volume[1]"":-1.9005219857793192}","[[0.0,25]]",1,263.1697645423996,"{""volume[1]"":50.0}",4,6.757426023483276
"{""volume[1]"":-1.881516765921526}","[[0.0,26]]",1,270.5380668969756,"{""volume[1]"":108.472359968246}",5,6.758615016937256
"{""volume[1]"":-0.9313507991311554}","[[0.0,27]]",1,166.8568670879376,"{""volume[1]"":138.472359968246}",5,6.758854150772095
"{""volume[1]"":-1.3923694447010773}","[[0.0,28]]",1,240.23064338506825,"{""volume[1]"":108.472359968246}",5,6.75910496711731
"{""volume[1]"":-1.6205736742581887}","[[0.0,29]]",1,270.0943493097354,"{""volume[1]"":78.472359968246}",5,6.759350061416626
"{""volume[1]"":-1.4914068438848367}","[[0.0,30]]",1,265.9997041928509,"{""volume[1]"":108.472359968246}",5,6.7595930099487305
"{""volume[1]"":-1.4764927754459882}","[[0.0,31]]",1,273.33970715092244,"{""volume[1]"":78.472359968246}",5,6.759818077087402
"{""volume[1]"":-1.4617278476915283}","[[0.0,32]]",1,280.6063100794132,"{""volume[1]"":108.472359968246}",5,6.760040998458862
"{""volume[1]"":-1.4471105692146131}","[[0.0,33]]",1,287.8002469786191,"{""volume[1]"":138.472359968246}",5,6.760267972946167
"{""volume[1]"":-1.432639463522467}","[[0.0,34]]",1,294.92224450883293,"{""volume[1]"":110.0}",5,6.760488986968994
"{""volume[1]"":-1.4183130688872423}","[[0.0,35]]",1,301.9730220637446,"{""volume[1]"":80.0}",5,6.760725021362305
"{""volume[1]"":-1.4041299381983698}","[[0.0,36]]",1,308.9532918431072,"{""volume[1]"":50.0}",5,6.760961055755615
"{""volume[1]"":-1.3900886388163862}","[[0.0,37]]",1,315.8637589246761,"{""volume[1]"":110.0}",6,6.76235294342041
"{""volume[1]"":-1.3761877524282224}","[[0.0,38]]",1,322.70512133542934,"{""volume[1]"":140.0}",6,6.762609004974365
"{""volume[1]"":-1.3624258749039402}","[[0.0,39]]",1,329.478070122075,"{""volume[1]"":110.0}",6,6.762872934341431
"{""volume[1]"":-1.3488016161549008}","[[0.0,40]]",1,336.18328942085424,"{""volume[1]"":140.0}",6,6.763117074966431
"{""volume[1]"":-1.3353135999933519}","[[0.0,41]]",1,342.82145652664565,"{""volume[1]"":110.0}",6,6.7633750438690186
"{""volume[1]"":-1.3219604639934184}","[[0.0,42]]",1,349.3932419613792,"{""volume[1]"":80.0}",6,6.763648986816406
"{""volume[1]"":-1.3087408593534842}","[[0.0,43]]",1,355.89930954176543,"{""volume[1]"":110.0}",6,6.7639100551605225
"{""volume[1]"":-1.2956534507599493}","[[0.0,44]]",1,362.3403164463478,"{""volume[1]"":80.0}",6,6.76416015625
"{""volume[1]"":-1.2826969162523498}","[[0.0,45]]",1,368.71691328188433,"{""volume[1]"":110.0}",6,6.764405965805054
"{""volume[1]"":-1.2698699470898263}","[[0.0,46]]",1,375.0297441490655,"{""volume[1]"":80.0}",6,6.7646589279174805
"{""volume[1]"":-1.257171247618928}","[[0.0,47]]",1,381.27944670757483,"{""volume[1]"":50.0}",6,6.764914035797119
"{""volume[1]"":-1.6222997675713695}","[[0.0,48]]",1,398.797659213358,"{""volume[1]"":20.0}",6,6.765210151672363
"{""volume[1]"":-1.4253381525191973}","[[0.0,49]]",1,401.56032595215555,"{""volume[1]"":50.0}",6,6.765489101409912
"{""volume[1]"":-1.4110847709940053}","[[0.0,50]]",1,407.544722692634,"{""volume[1]"":60.0}",7,6.767419099807739
"{""volume[1]"":-1.3969739232840652}","[[0.0,51]]",1,413.4692754657077,"{""volume[1]"":30.0}",7,6.767704010009766
"{""volume[1]"":-1.3830041840512246}","[[0.0,52]]",1,419.33458271105064,"{""volume[1]"":60.0}",7,6.7679619789123535
"{""volume[1]"":-1.3691741422107124}","[[0.0,53]]",1,425.1412368839401,"{""volume[1]"":30.0}",7,6.768226146697998
"{""volume[1]"":-1.6777412003943026}","[[0.0,54]]",1,440.55758850327163,"{""volume[1]"":0.0}",7,6.768540143966675
"{""volume[1]"":-1.83048189419518}","[[0.0,55]]",1,451.23755579238355,"{""volume[1]"":0.0}",7,6.768841981887817
"{""volume[1]"":-1.906088537626614}","[[0.0,56]]",1,459.5425241056613,"{""volume[1]"":0.0}",7,6.769128084182739
"{""volume[1]"":-1.9435138261251739}","[[0.0,57]]",1,466.6416840808495,"{""volume[1]"":20.0}",7,6.769423961639404
"{""volume[1]"":-1.6397805443262636}","[[0.0,58]]",1,459.96149018370056,"{""volume[1]"":50.0}",7,6.769710063934326
"{""volume[1]"":-1.8116913694415004}","[[0.0,59]]",1,474.31783017770726,"{""volume[1]"":20.0}",7,6.770003080368042
"{""volume[1]"":-1.7935744557470854}","[[0.0,60]]",1,479.5746518759302,"{""volume[1]"":50.0}",7,6.770262956619263
"{""volume[1]"":-1.8878193555948073}","[[0.0,61]]",1,488.1443246893267,"{""volume[1]"":20.0}",7,6.770559072494507
"{""volume[1]"":-1.8689411620388592}","[[0.0,62]]",1,493.2628814424334,"{""volume[1]"":50.0}",7,6.770823955535889
"{""volume[1]"":-1.9251258752092353}","[[0.0,63]]",1,500.576476371732,"{""volume[1]"":20.0}",7,6.771116018295288
"{""volume[1]"":-1.905874616457143}","[[0.0,64]]",1,505.5707116080147,"{""volume[1]"":50.0}",7,6.771378040313721
"{""volume[1]"":-1.9434079351462858}","[[0.0,65]]",1,512.212766437546,"{""volume[1]"":0.0}",8,6.773482084274292
"{""volume[1]"":-1.9619869278974114}","[[0.0,66]]",1,518.2310309362481,"{""volume[1]"":0.0}",8,6.7738001346588135
"{""volume[1]"":-1.9423670586184372}","[[0.0,67]]",1,523.0487206268856,"{""volume[1]"":30.0}",8,6.77406907081604
"{""volume[1]"":-1.9614716940161263}","[[0.0,68]]",1,528.974082600133,"{""volume[1]"":0.0}",8,6.774358034133911
"{""volume[1]"":-1.9709284885379825}","[[0.0,69]]",1,534.5564871179922,"{""volume[1]"":0.0}",8,6.7746570110321045
"{""volume[1]"":-1.9512192036526026}","[[0.0,70]]",1,539.2109222468123,"{""volume[1]"":30.0}",8,6.774923086166382
"{""volume[1]"":-1.9317070116160766}","[[0.0,71]]",1,543.8188130243442,"{""volume[1]"":60.0}",8,6.775186061859131
"{""volume[1]"":-1.912389941499916}","[[0.0,72]]",1,548.3806248941007,"{""volume[1]"":30.0}",8,6.7754480838775635
"{""volume[1]"":-1.8932660420849168}","[[0.0,73]]",1,552.8968186451598,"{""volume[1]"":60.0}",8,6.775718927383423
"{""volume[1]"":-1.8743333816640675}","[[0.0,74]]",1,557.3678504587082,"{""volume[1]"":30.0}",8,6.775984048843384
"{""volume[1]"":-1.8555900478474268}","[[0.0,75]]",1,561.7941719541211,"{""volume[1]"":60.0}",8,6.776242017745972
"{""volume[1]"":-1.8370341473689524}","[[0.0,76]]",1,566.1762302345799,"{""volume[1]"":30.0}",8,6.776505947113037
"{""volume[1]"":-1.8186638058952629}","[[0.0,77]]",1,570.514467932234,"{""volume[1]"":60.0}",8,6.776769161224365
"{""volume[1]"":-1.8004771678363103}","[[0.0,78]]",1,574.8093232529117,"{""volume[1]"":30.0}",8,6.777029991149902
"{""volume[1]"":-1.8912361980789736}","[[0.0,79]]",1,582.3241440780134,"{""volume[1]"":0.0}",8,6.7773261070251465
"{""volume[1]"":-1.9361619180490919}","[[0.0,80]]",1,588.4160450957604,"{""volume[1]"":20.0}",8,6.777635097503662
"{""volume[1]"":-1.916800298868601}","[[0.0,81]]",1,592.5318846448029,"{""volume[1]"":50.0}",8,6.777904987335205
"{""volume[1]"":24.108763801921025}","[[0.0,82]]",1,-4077.448923653043,"{""volume[1]"":200.0}",9,6.780179977416992
"{""volume[1]"":24.108763801921025}","[[0.0,83]]",1,-3815.3018998655143,"{""volume[1]"":200.0}",9,6.780537128448486
"{""volume[1]"":24.5}","[[0.0,84]]",1,-3763.568016889625,"{""volume[1]"":200.0}",9,6.780874967575073
"{""volume[1]"":24.5}","[[0.0,85]]",1,-3697.4716545607266,"{""volume[1]"":200.0}",9,6.781213998794556
"{""volume[1]"":11.178683852060042}","[[0.0,86]]",1,-1260.9307016701832,"{""volume[1]"":170.0}",9,6.781559944152832
"{""volume[1]"":4.584632358829763}","[[0.0,87]]",1,-186.7239598539702,"{""volume[1]"":140.0}",9,6.781881093978882
"{""volume[1]"":14.396893017620732}","[[0.0,88]]",1,-1770.9025498401043,"{""volume[1]"":170.0}",9,6.782210111618042
"{""volume[1]"":1.3205768696807754}","[[0.0,89]]",1,279.72726756207555,"{""volume[1]"":140.0}",9,6.782550096511841
"{""volume[1]"":-0.29513059744797365}","[[0.0,90]]",1,478.30647579044324,"{""volume[1]"":110.0}",9,6.7828850746154785
"{""volume[1]"":2.1233033718839858}","[[0.0,91]]",1,195.56479157043867,"{""volume[1]"":140.0}",9,6.783203125
"{""volume[1]"":0.551035169082573}","[[0.0,92]]",1,399.51533381599285,"{""volume[1]"":110.0}",9,6.783553123474121
"{""volume[1]"":-0.6760537392440839}","[[0.0,93]]",1,529.98310575021,"{""volume[1]"":80.0}",9,6.78389310836792
"{""volume[1]"":0.7163885681567514}","[[0.0,94]]",1,393.5527765924054,"{""volume[1]"":110.0}",9,6.784212112426758
"{""volume[1]"":-0.5942038067023656}","[[0.0,95]]",1,528.6686385753686,"{""volume[1]"":80.0}",9,6.784558057785034
"{""volume[1]"":0.06048145691992096}","[[0.0,96]]",1,475.35708270550685,"{""volume[1]"":110.0}",9,6.784861087799072
"{""volume[1]"":2.299331338796094}","[[0.0,97]]",1,187.06372331691085,"{""volume[1]"":140.0}",9,6.785172939300537
"{""volume[1]"":0.06048145691992096}","[[0.0,98]]",1,475.35708270550685,"{""volume[1]"":110.0}",9,6.785475015640259
"{""volume[1]"":-0.4700616788246391}","[[0.0,99]]",1,527.5321493444816,"{""volume[1]"":80.0}",9,6.7858030796051025
"{""volume[1]"":-1.1814966789581538}","[[0.0,100]]",1,583.2425706425306,"{""volume[1]"":50.0}",9,6.7861199378967285
"{""volume[1]"":-1.5336570040242437}","[[0.0,101]]",1,602.9276141229002,"{""volume[1]"":30.0}",10,6.788726091384888
"{""volume[1]"":-0.991840748010197}","[[0.0,102]]",1,582.6987788057501,"{""volume[1]"":60.0}",10,6.789047002792358
"{""volume[1]"":-1.2501213872570482}","[[0.0,103]]",1,604.8406476041408,"{""volume[1]"":30.0}",10,6.78934907913208
"{""volume[1]"":-1.618810086692239}","[[0.0,104]]",1,620.2279385273323,"{""volume[1]"":0.0}",10,6.789670944213867
"{""volume[1]"":-1.4201210796048973}","[[0.0,105]]",1,621.8839773216919,"{""volume[1]"":30.0}",10,6.789956092834473
"{""volume[1]"":-1.7029599344044242}","[[0.0,106]]",1,634.5763395163422,"{""volume[1]"":0.0}",10,6.79024600982666
"{""volume[1]"":-1.84296516753019}","[[0.0,107]]",1,642.941621095273,"{""volume[1]"":0.0}",10,6.790537118911743
"{""volume[1]"":-1.7029599344044242}","[[0.0,108]]",1,644.999873184265,"{""volume[1]"":20.0}",10,6.790840148925781
"{""volume[1]"":-1.6859303350603798}","[[0.0,109]]",1,648.5498744524223,"{""volume[1]"":50.0}",10,6.791100025177002
"{""volume[1]"":-1.3254966861199355}","[[0.0,110]]",1,629.684925433141,"{""volume[1]"":80.0}",10,6.791393041610718
"{""volume[1]"":-1.4906563754842561}","[[0.0,111]]",1,648.0786656301194,"{""volume[1]"":60.0}",10,6.791690111160278
"{""volume[1]"":-1.5724104217195949}","[[0.0,112]]",1,654.7309456405635,"{""volume[1]"":30.0}",10,6.79196310043335
"{""volume[1]"":-1.7783431587511993}","[[0.0,113]]",1,664.8333414216219,"{""volume[1]"":0.0}",10,6.792251110076904
"{""volume[1]"":-1.8802798635818436}","[[0.0,114]]",1,671.7766120999504,"{""volume[1]"":18.3071134925803}",10,6.792547941207886
"{""volume[1]"":-1.709081691224212}","[[0.0,115]]",1,671.1931022932088,"{""volume[1]"":48.3071134925803}",10,6.792834043502808
"{""volume[1]"":-1.5838703430206915}","[[0.0,116]]",1,666.2831410607859,"{""volume[1]"":78.3071134925803}",10,6.793117046356201
"{""volume[1]"":-1.630011256951227}","[[0.0,117]]",1,673.9101289810496,"{""volume[1]"":48.3071134925803}",10,6.793396949768066
"{""volume[1]"":-1.6137111443817147}","[[0.0,118]]",1,677.171027691239,"{""volume[1]"":78.3071134925803}",10,6.793653964996338
"{""volume[1]"":-1.5975740329378976}","[[0.0,119]]",1,680.3993174143266,"{""volume[1]"":48.307113492580314}",10,6.793905973434448
"{""volume[1]"":-1.5815982926085186}","[[0.0,120]]",1,683.5953242401833,"{""volume[1]"":78.30711349258031}",10,6.794177055358887
"{""volume[1]"":-1.5657823096824335}","[[0.0,121]]",1,686.7593709977815,"{""volume[1]"":50.0}",10,6.794440031051636
"{""volume[1]"":0.36310676941126185}","[[0.0,122]]",1,483.5576792386381,"{""volume[1]"":138.47705544424053}",11,6.7970781326293945
"{""volume[1]"":-0.59532439243423}","[[0.0,123]]",1,611.1535641829834,"{""volume[1]"":118.47705544424053}",11,6.797399997711182
"{""volume[1]"":-1.0697478175477484}","[[0.0,124]]",1,664.8250587281639,"{""volume[1]"":88.47705544424053}",11,6.79770302772522
"{""volume[1]"":-1.30458741297894}","[[0.0,125]]",1,686.400404922543,"{""volume[1]"":58.477055444240534}",11,6.79800009727478
"{""volume[1]"":-1.1457707694245753}","[[0.0,126]]",1,679.8895468570333,"{""volume[1]"":88.47705544424053}",11,6.7982940673828125
"{""volume[1]"":-1.2129273002897403}","[[0.0,127]]",1,688.6719532876726,"{""volume[1]"":58.477055444240534}",11,6.798599004745483
"{""volume[1]"":-1.2007980272868428}","[[0.0,128]]",1,691.7852337547959,"{""volume[1]"":88.47705544424053}",11,6.79886794090271
"{""volume[1]"":-1.1887900470139743}","[[0.0,129]]",1,694.867381417248,"{""volume[1]"":58.477055444240534}",11,6.799129962921143
"{""volume[1]"":-1.1769021465438345}","[[0.0,130]]",1,697.9187076030754,"{""volume[1]"":88.47705544424053}",11,6.799389123916626
"{""volume[1]"":-1.082566562539198}","[[0.0,131]]",1,691.9236922182167,"{""volume[1]"":118.47705544424053}",11,6.7996790409088135
"{""volume[1]"":-1.118437010996101}","[[0.0,132]]",1,699.3728713340084,"{""volume[1]"":88.47705544424053}",11,6.799958944320679
"{""volume[1]"":-1.10725264088614}","[[0.0,133]]",1,702.3791426206684,"{""volume[1]"":58.477055444240534}",11,6.800225019454956
"{""volume[1]"":-1.0961801144772787}","[[0.0,134]]",1,705.3553511944617,"{""volume[1]"":88.47705544424053}",11,6.80048394203186
"{""volume[1]"":-1.085218313332506}","[[0.0,135]]",1,708.3017976825171,"{""volume[1]"":118.47705544424053}",11,6.8007519245147705
"{""volume[1]"":6.589278978622672}","[[0.0,136]]",1,-362.34263949057276,"{""volume[1]"":148.47705544424053}",11,6.801053047180176
"{""volume[1]"":2.7245100293186324}","[[0.0,137]]",1,257.5991371463646,"{""volume[1]"":128.47705544424053}",11,6.801358938217163
"{""volume[1]"":0.8114493994131325}","[[0.0,138]]",1,526.2091039835385,"{""volume[1]"":98.47705544424053}",11,6.801671028137207
"{""volume[1]"":0.848632464512723}","[[0.0,139]]",1,521.5237908971656,"{""volume[1]"":128.47705544424053}",11,6.801993131637573
"{""volume[1]"":-0.13551561239008986}","[[0.0,140]]",1,640.2317373318753,"{""volume[1]"":100.0}",11,6.802295923233032
"{""volume[1]"":1.2815522363796286}","[[0.0,141]]",1,474.082141282307,"{""volume[1]"":130.0}",11,6.802596092224121
"{""volume[1]"":0.13436835700791616}","[[0.0,142]]",1,615.302316067404,"{""volume[1]"":110.0}",11,6.8029091358184814
"{""volume[1]"":-0.470670728380672}","[[0.0,143]]",1,677.629774993577,"{""volume[1]"":80.0}",11,6.803244113922119
"{""volume[1]"":-0.7701650756480231}","[[0.0,144]]",1,702.4919802166858,"{""volume[1]"":50.0}",11,6.803565979003906
"{""volume[1]"":-1.3812317124457714}","[[0.0,145]]",1,725.71828581119,"{""volume[1]"":0.0}",12,6.806605100631714
"{""volume[1]"":-1.0649414101064283}","[[0.0,146]]",1,724.8507383647027,"{""volume[1]"":30.0}",12,6.806939125061035
"{""volume[1]"":-0.7601280085511146}","[[0.0,147]]",1,710.3825938414603,"{""volume[1]"":70.0}",12,6.807260990142822
"{""volume[1]"":-0.9034093622354837}","[[0.0,148]]",1,723.7296120974752,"{""volume[1]"":50.0}",12,6.80758810043335
"{""volume[1]"":-1.1308973319672213}","[[0.0,149]]",1,734.0442477084777,"{""volume[1]"":30.0}",12,6.807911157608032
"{""volume[1]"":-1.006981813630339}","[[0.0,150]]",1,734.4481332975287,"{""volume[1]"":70.0}",12,6.808233022689819
"{""volume[1]"":0.13591235926089834}","[[0.0,151]]",1,630.8480929670577,"{""volume[1]"":110.0}",12,6.808531045913696
"{""volume[1]"":-0.43117937991287314}","[[0.0,152]]",1,697.1054042675339,"{""volume[1]"":90.0}",12,6.808833122253418
"{""volume[1]"":-0.71188979080389}","[[0.0,153]]",1,724.2885651434493,"{""volume[1]"":70.0}",12,6.809145927429199
"{""volume[1]"":-0.8508414441949435}","[[0.0,154]]",1,734.9651967092063,"{""volume[1]"":50.0}",12,6.809463024139404
"{""volume[1]"":-0.6346003079333692}","[[0.0,155]]",1,721.4529322174087,"{""volume[1]"":90.0}",12,6.809777021408081
"{""volume[1]"":-0.7352936673035146}","[[0.0,156]]",1,731.4910913651939,"{""volume[1]"":70.0}",12,6.8100831508636475
"{""volume[1]"":-0.29669374748109506}","[[0.0,157]]",1,690.2622432137571,"{""volume[1]"":110.0}",12,6.8103859424591064
"{""volume[1]"":3.114829689415081}","[[0.0,158]]",1,233.4286019314664,"{""volume[1]"":150.0}",12,6.810703992843628
