node,iteration,delta
1,1,0.0
1,2,3.4428091711307927
1,3,7.620574922601293
1,4,9.134722584260409
1,5,13.602549127644508
1,6,12.03451417252191
1,7,12.701421221596348
1,8,12.713248081379191
1,9,13.590525332555671
1,10,13.621777051690586
1,11,13.09991259318548
1,12,12.495171168046568
1,13,12.613692561288872
1,14,12.460505843258318
1,15,12.505305569607856
1,16,12.997902356870554
1,17,15.185508901184221
1,18,15.097905017152016
1,19,16.230707210938576
1,20,15.199172470985758
1,21,15.941505193821058
1,22,16.301443906826762
1,23,16.3610162200917
1,24,16.16136618448928
1,25,16.251992090672303
1,26,16.200940713758
1,27,16.19664038640795
1,28,16.26113056686873
1,29,16.25727853598005
1,30,16.51754510338688
1,31,16.295189231300355
1,32,16.28948096330805
1,33,16.289595655001733
1,34,16.402327727861575
1,35,16.410884556510013
1,36,16.41768220853521
1,37,16.41754102356373
1,38,16.440826649524183
1,39,16.42783483894857
1,40,16.471435382383817
1,41,16.469963172509665
1,42,16.559105433025707
1,43,16.51089276138535
1,44,16.533587677623387
1,45,16.536563742290554
1,46,16.553932343591327
1,47,16.555699766134893
1,48,16.734923201290087
1,49,16.6664353628922
1,50,16.67778473653209
1,51,16.71288801491039
1,52,16.69818970204139
1,53,16.70928923836874
1,54,16.72385842801515
1,55,16.739572114646023
1,56,16.74938085437904
1,57,16.75178810806426
1,58,16.751129972830654
1,59,16.75247961474429
1,60,16.75338798550257
1,61,16.753840696544017
1,62,16.75420562153937
1,63,16.754334868911826
1,64,16.834662776473664
1,65,16.760818147431138
1,66,16.76890561108027
1,67,16.776469070531476
1,68,16.78204406553209
1,69,16.78546119958048
1,70,16.788627808633436
1,71,16.78746257075386
1,72,16.78715837580532
1,73,16.787937746023374
1,74,16.78841499463971
1,75,16.788507120712865
1,76,16.794802430947783
1,77,16.78935012035859
1,78,16.78978330561125
1,79,16.790550946020858
1,80,16.79002791599038
1,81,16.79141522886161
1,82,16.790637156497695
1,83,16.79035391206918
1,84,16.79090362153309
1,85,16.79077494652546
1,86,16.792666667769566
1,87,16.790592921231053
1,88,16.79128881098586
1,89,16.79085172948544
1,90,16.790926907180193
1,91,16.790782175297778
1,92,16.79088101095803
1,93,16.792363725122726
1,94,16.791352795432516
1,95,16.790926278598022
1,96,16.791189907562114
1,97,16.791168668920847
1,98,16.791057648219606
1,99,16.79145989497826
1,100,16.791318539821987
