node,iteration,delta
1,1,2.475
1,2,12.54849340529433
1,3,14.262835128105863
1,4,12.141010544927823
1,5,12.178606091788318
1,6,13.829886453671492
1,7,11.408844365883681
1,8,12.854965385953875
1,9,12.084359009841194
1,10,13.204905048289987
1,11,11.874997029801733
1,12,12.072477719733854
1,13,11.926242144398088
1,14,12.05887871682404
1,15,11.853289596925606
1,16,15.669253877878418
1,17,14.632743404540264
1,18,14.653867512273123
1,19,14.83599669570323
1,20,14.726135901505629
1,21,14.931486146410606
1,22,15.069747148180909
1,23,14.956924616544086
1,24,14.950630273188949
1,25,15.027536628801869
1,26,15.096189760707858
1,27,15.072799170261334
1,28,15.077364727505596
1,29,15.099407547730266
1,30,15.117411742759487
1,31,15.10834436964629
1,32,15.111531325622167
1,33,15.11300703406377
1,34,15.11278784323008
1,35,15.113462716317514
1,36,15.122297270649796
1,37,15.148471984096545
1,38,15.150180865403087
1,39,15.142136935434877
1,40,15.457847556971046
1,41,15.579481934637954
1,42,15.560490180306658
1,43,15.597135525236268
1,44,15.725041272467251
1,45,15.705017317355242
1,46,15.770994570794159
1,47,15.7304926507789
1,48,15.735553207976665
1,49,15.741754891198838
1,50,15.7428682967452
1,51,15.745150339647552
1,52,15.743812277228557
1,53,15.754309426674723
1,54,15.745990107818045
1,55,15.747668101075107
1,56,15.748313063382056
1,57,15.752732030915809
1,58,15.750294632566323
1,59,15.771368592287274
1,60,15.795230615872327
1,61,15.843100324056024
1,62,15.821980287961566
1,63,15.855503668368556
1,64,15.8450154257836
1,65,15.837145844834083
1,66,15.843136872700569
1,67,15.838719147077256
1,68,15.840306346953554
1,69,15.841471423327903
1,70,15.842395218700602
1,71,15.842665432437002
1,72,15.843930155736956
1,73,15.844897951022375
1,74,15.84444556977246
1,75,15.84463169182348
1,76,15.844948812022778
1,77,15.844928427733151
1,78,15.844944778066065
1,79,15.844887201594474
1,80,15.84485772256977
1,81,15.84484897925148
1,82,15.844963258431704
1,83,15.84494000241159
1,84,15.84518305719348
1,85,15.845320902494137
1,86,15.846122614588865
1,87,15.845328879922903
1,88,15.84531217990019
1,89,15.845261594788383
1,90,15.845627985093302
1,91,15.845394796078466
1,92,15.845389478276246
1,93,15.845708758491668
1,94,15.845629450303932
1,95,15.845317555359372
1,96,15.845897430006119
1,97,15.84530691406087
1,98,15.845375699689043
1,99,15.846116333558513
1,100,15.845575310244158
