approx_value,iteration
9.980009999999998,1
48.30085535427208,2
88.70403040051838,3
171.45408603730073,4
268.0706881490985,5
366.1687376679404,6
509.6690245923034,7
647.5277828190456,8
823.6345086002392,9
1012.8042843048287,10
1215.9590861594406,11
1432.3935459453635,12
1659.2238377522244,13
1896.5713450280864,14
2143.509168083532,15
2396.735614743699,16
2466.2777372329865,17
2611.916066604687,18
2791.3078470857918,19
3046.235813300126,20
3302.8312185371724,21
3527.667865238648,22
3711.4762995380215,23
3995.042744707896,24
4116.998867466915,25
4358.60610697422,26
4648.866197977294,27
4839.942164607497,28
5113.969080599078,29
5387.169417875178,30
5596.968520268852,31
5765.551697008904,32
5974.229241223418,33
6232.6399957654485,34
6457.793890362129,35
6642.176377594841,36
6867.556943119377,37
7043.575765822613,38
7247.281157895829,39
7444.362670409228,40
7603.173140628203,41
7770.016155983588,42
7955.656342336193,43
8080.311539727421,44
8277.499616508201,45
8421.2950209747,46
8626.885965622196,47
8810.37861284268,48
9004.60818132746,49
9131.847683537264,50
9291.958314062282,51
9411.711416159616,52
9582.50634372175,53
9712.5421842394,54
9901.663548745179,55
10082.906235598366,56
10268.857219408023,57
10389.126843014,58
10526.197703760623,59
10666.819817900097,60
10776.731147026752,61
10898.596549105907,62
11058.198357980686,63
11217.310740013167,64
11355.890465200137,65
11481.763310863687,66
11601.666174436741,67
11745.670870839982,68
11876.690923519898,69
12025.661589915933,70
12180.752754990175,71
12323.730235396873,72
12452.523658324797,73
12585.43467354772,74
12691.262466733951,75
12798.036295175632,76
12887.002507545738,77
12967.329810139378,78
13068.984522422888,79
13164.239683489948,80
13278.962074058374,81
13416.071454754201,82
13521.030045254953,83
13581.46851386505,84
13677.606943747396,85
13774.738115795277,86
13876.407532932613,87
13980.891101468736,88
14065.654458896457,89
14159.485266912772,90
14261.578422539009,91
14365.872070222915,92
14456.336325197663,93
14552.012661349421,94
14634.965392152346,95
14706.634400291921,96
14796.420846261633,97
14866.071547520753,98
14942.713741829488,99
15032.151400755969,100
