node,iteration,delta
1,1,2.4875
1,2,10.954138065150524
1,3,7.2913291366191295
1,4,13.220601175800184
1,5,9.964341901788373
1,6,10.625356099865371
1,7,12.239878423130563
1,8,12.449883210223476
1,9,12.046019549397386
1,10,12.795838661147982
1,11,12.414969855798489
1,12,12.393062239782466
1,13,14.507819829419262
1,14,15.36309186687862
1,15,15.907930894051333
1,16,15.749225855409605
1,17,17.084592888222744
1,18,16.140650472560594
1,19,16.144495006713896
1,20,16.630694422568354
1,21,16.27328912541546
1,22,16.333621052354744
1,23,17.024897229846005
1,24,16.396929537485562
1,25,16.568530627129604
1,26,16.435808428510256
1,27,16.43831303370854
1,28,16.533246448008697
1,29,16.63850353120114
1,30,16.666643996678573
1,31,16.663968861758093
1,32,16.690590061103535
1,33,16.691006597250663
1,34,16.678869181030564
1,35,16.685903042502417
1,36,16.689637834506385
1,37,16.703974518381898
1,38,16.731834905845574
1,39,16.77584456935972
1,40,16.757868093399537
1,41,16.760380641583566
1,42,16.771565153882023
1,43,16.76914222548959
1,44,16.76994345785633
1,45,16.77697014934165
1,46,16.77534446624699
1,47,16.778119527615388
1,48,16.77960345720092
1,49,16.78264407530122
1,50,16.78132549339435
1,51,16.783878683699953
1,52,16.79558372687808
1,53,16.785939411906753
1,54,16.786112499251544
1,55,16.785713080372517
1,56,16.7879550737226
1,57,16.786435623337127
1,58,16.78923302371487
1,59,16.78660966815397
1,60,16.78743559422793
1,61,16.787497057257582
1,62,16.787636944646295
1,63,16.787520215327163
1,64,16.78808085719848
1,65,16.788815839511756
1,66,16.793504880594355
1,67,16.789066801287447
1,68,16.78890254392661
1,69,16.78939543156517
1,70,16.78889174416335
1,71,16.78904797345524
1,72,16.789440688850704
1,73,16.78975671666933
1,74,16.79006197276408
1,75,16.790416925205705
1,76,16.7932955403368
1,77,16.790815904706875
1,78,16.790688837474903
1,79,16.790780104584
1,80,16.79085754031371
1,81,16.791829039228446
1,82,16.791506722578845
1,83,16.791430550001166
1,84,16.791871444075156
1,85,16.791308643294002
1,86,16.79121563714193
1,87,16.79133644813666
1,88,16.791358894165057
1,89,16.79139383723671
1,90,16.79178703039804
1,91,16.79145391933355
1,92,16.791311223191542
1,93,16.79149721812672
1,94,16.791542804419834
1,95,16.791489214285377
1,96,16.791650269347173
1,97,16.79152589640927
1,98,16.79153506771172
1,99,16.79154214676899
1,100,16.791572745177405
