node,iteration,delta
1,1,19.9
1,2,9.162168497092807
1,3,9.691756716816272
1,4,9.492879021233989
1,5,9.032477732819217
1,6,10.957982041299601
1,7,7.640545365407206
1,8,7.1331252788920665
1,9,6.634443944034615
1,10,6.490241365708243
1,11,13.431980526227676
1,12,5.6035317220103025
1,13,5.1093503504629325
1,14,4.563116741747535
1,15,12.245604463030304
1,16,3.559053009505533
1,17,3.849135927134512
1,18,15.361942624459289
1,19,3.101323292749157
1,20,13.101724883875022
1,21,4.373000099281626
1,22,13.368052003331286
1,23,2.1467825073852964
1,24,2.396336412222581
1,25,3.9843479394648966
1,26,3.445515334841275
1,27,6.105005689437348
1,28,6.138052758340109
1,29,2.544304776644367
1,30,5.588769229662375
1,31,2.2937376407853662
1,32,8.454116723700281
1,33,11.957047233293451
1,34,2.585810192149893
1,35,5.706988450094741
1,36,2.3553239807865793
1,37,1.2405262529568972
1,38,2.5504600648464475
1,39,1.7397201632011274
1,40,2.0849254371014467
1,41,1.179409531249803
1,42,1.5305599291104954
1,43,5.125722596666037
1,44,2.3127943148924714
1,45,1.5567034103642072
1,46,2.0866080792270623
1,47,0.9029735134090515
1,48,1.2607365963913253
1,49,1.663264658503067
1,50,0.6832274456664891
1,51,0.646514431419746
1,52,2.8257159101317484
1,53,0.8940050595883804
1,54,0.5308968301874302
1,55,0.6176900981358813
1,56,0.5069988025247767
1,57,0.5797709693297293
1,58,1.7922256485235266
1,59,0.9782106739521623
1,60,0.4675105279725358
1,61,0.7862175423306326
1,62,0.22518742092779576
1,63,0.8490059986224878
1,64,2.947835038492485
1,65,0.32473186896186235
1,66,0.20246940404513225
1,67,0.2683581250635143
1,68,0.9496072394335897
1,69,1.2805324155247035
1,70,1.098379712145288
1,71,0.6105672858898288
1,72,0.37035031094819715
1,73,0.029106805542141956
1,74,0.4377745620213318
1,75,0.40283037238805264
1,76,1.9074432610150325
1,77,0.007289040367140842
1,78,0.18181469014371032
1,79,0.18418576229214523
1,80,0.09702315607592027
1,81,0.13928440387280716
1,82,0.4414342509658127
1,83,0.1311552179067803
1,84,0.15206986192742988
1,85,0.35478273262879156
1,86,0.18776441338286531
1,87,0.7949865733089609
1,88,0.2106900382063941
1,89,0.09094103739698767
1,90,0.03063133161776932
1,91,0.0005539780831895769
1,92,0.06558589770656909
1,93,0.020716680835448642
1,94,0.21215871807817166
1,95,0.14063384470546225
1,96,0.07379311950535339
1,97,0.118266923007468
1,98,0.01993735897804072
1,99,0.12908002047424816
1,100,0.20815695020337444
