node,iteration,delta
1,1,19.800000000000004
1,2,17.728899041057772
1,3,6.8203420554687
1,4,15.396432264911596
1,5,9.36589742118619
1,6,11.981090712620016
1,7,11.566380029220753
1,8,11.359204401964462
1,9,12.708316513978545
1,10,12.95588317961176
1,11,13.60877255192247
1,12,15.127460848555984
1,13,14.304018788426447
1,14,17.667351716662097
1,15,15.044798945627008
1,16,15.118933846214475
1,17,15.297049504957641
1,18,15.147837173049368
1,19,15.162631426270224
1,20,15.218712654303772
1,21,15.347910266724199
1,22,15.39668957390549
1,23,15.40815195086708
1,24,15.424304982744502
1,25,15.469800241256308
1,26,15.517378155650476
1,27,15.60786885030987
1,28,15.534742858900302
1,29,15.689828202353539
1,30,15.600157157308729
1,31,15.646426040118627
1,32,15.718984376974475
1,33,15.695145349385797
1,34,15.72074110027421
1,35,15.730469447008772
1,36,15.8607984289701
1,37,15.813864762247931
1,38,15.815579293706236
1,39,15.815272235994854
1,40,15.793498611889731
1,41,15.804334109595175
1,42,15.797816535668176
1,43,15.833090216745802
1,44,15.807753589173416
1,45,15.815431529983641
1,46,15.81272451577206
1,47,15.816476404516777
1,48,15.816914588919445
1,49,15.817028593245084
1,50,15.820145844045356
1,51,15.835508040891483
1,52,15.820020276765547
1,53,15.822645133270072
1,54,15.821370698243044
1,55,15.822381568248971
1,56,15.823361029767796
1,57,15.823703893796619
1,58,15.822735860537449
1,59,15.82437962024801
1,60,15.825843443883002
1,61,15.831072294812685
1,62,15.825756450357602
1,63,15.826736308393833
1,64,15.826339239853354
1,65,15.826508833540373
1,66,15.826261630953752
1,67,15.827775856041995
1,68,15.82783004121913
1,69,15.829823461337725
1,70,15.828628150253564
1,71,15.82951954896626
1,72,15.829699760380691
1,73,15.829225588135728
1,74,15.834242588560556
1,75,15.83025497059711
1,76,15.829783307601872
1,77,15.831993678591658
1,78,15.830022298328146
1,79,15.830358088578436
1,80,15.830774873235299
1,81,15.830443167432918
1,82,15.831083761077764
1,83,15.830886221998043
1,84,15.830928364245636
1,85,15.830927512935261
1,86,15.831415803802543
1,87,15.830871845318626
1,88,15.830943983127497
1,89,15.831013678310143
1,90,15.831207134158177
1,91,15.831027278256386
1,92,15.831222901998558
1,93,15.831124101859672
1,94,15.831093458877177
1,95,15.831059988915172
1,96,15.831093556594368
1,97,15.831169064914718
1,98,15.831096895120652
1,99,15.831094504460737
1,100,15.831102937633062
