approx_value,iteration
19.9775075,1
31.794268395113775,2
47.59998962214793,3
68.84077176733412,4
86.29429545496077,5
87.24286713121003,6
94.72598919464565,7
106.31871733119776,8
108.73807004737785,9
123.26366750175058,10
129.3612588621541,11
135.76930560458862,12
136.23099084215613,13
136.52175741450367,14
137.54381783338917,15
137.79158014065152,16
146.35474425324543,17
149.44625819884982,18
152.0910169408345,19
154.19475192499868,20
154.37564223587628,21
154.48841891014627,22
154.50399665126707,23
155.55888548061947,24
156.4433197767314,25
156.8957701902216,26
157.18922468494424,27
157.3320176749819,28
157.38808908800166,29
159.38404844537706,30
160.44364136027,31
160.7310326578809,32
161.67730085849223,33
161.82998717988576,34
161.87829181564453,35
162.5280926855004,36
162.98355530453824,37
163.30481046883824,38
163.53129347968297,39
163.5766152199096,40
163.6688307690484,41
163.82725810977044,42
163.83877850628755,43
163.92223527857527,44
163.96027612762555,45
163.98765102183714,46
163.9958071012136,47
164.0002691531909,48
164.00938323279743,49
164.2132095143205,50
164.2960708989446,51
164.35988609866152,52
164.45614934250221,53
164.4939916620709,54
164.58205323842282,55
164.6245955880556,56
164.6531754512121,57
164.66579301686687,58
164.7042169925043,59
164.73736019591604,60
164.74553461738697,61
164.8259424137404,62
164.88138497133508,63
164.91414516980825,64
164.94992102216378,65
164.96552551881393,66
164.97167262557167,67
164.9737461544604,68
164.98285580092823,69
164.98980862030186,70
164.9977552263279,71
165.0034490303471,72
165.00942497326156,73
165.01605548472145,74
165.02302662396912,75
165.0309547919485,76
165.03692897611722,77
165.04966865532185,78
165.05588068829934,79
165.06296980393373,80
165.06876593712633,81
165.07533375724046,82
165.08442467429933,83
165.09240227423112,84
165.09849169528638,85
165.10116430867862,86
165.10272019994014,87
165.1045546811772,88
165.1054774701465,89
165.1074769305303,90
165.10923244329805,91
165.11183493562834,92
165.114707194257,93
165.11862197162355,94
165.1224203978546,95
165.1246969293154,96
165.12628534327297,97
165.12895872504015,98
165.13082523117487,99
165.1321997774843,100
