approx_value,iteration
11.266782793013803,1
31.93125418238479,2
67.42862425176807,3
67.42862425176807,4
84.37365917556644,5
86.72799934673336,6
101.62851673260423,7
108.63743452607592,8
114.32581923499532,9
117.44563019672647,10
117.56118107946565,11
117.91656401953736,12
118.07300901648321,13
118.85498778624972,14
119.06397903371573,15
119.1478595298865,16
119.16708313888533,17
119.19854099011154,18
119.64121905361561,19
119.89771829844643,20
120.31518852884179,21
120.55442622129868,22
120.61536801183036,23
120.65179471456167,24
123.41780025132671,25
124.85585602271634,26
126.3142910771397,27
127.01959438256134,28
127.33143182694936,29
127.38109305747909,30
127.72258568546388,31
127.80451547907035,32
127.91814601444102,33
128.01649240000953,34
130.51780163421049,35
131.8465316343992,36
132.07107103903982,37
132.80225355026784,38
133.21845910328847,39
133.26903411788572,40
134.3506318410222,41
134.7385290706797,42
134.81620101670848,43
135.3643917757918,44
135.71025913552174,45
135.82447022283907,46
136.11387886968063,47
136.334567215009,48
136.41108624965085,49
136.51437680892758,50
136.58558906640016,51
136.6092476890163,52
136.62580920044212,53
136.6413819636304,54
136.65393647872258,55
136.67390527010244,56
136.6977513289098,57
136.70968801916854,58
136.72502929860968,59
136.73540890889294,60
136.74898412760524,61
136.75734051933222,62
136.76615908324135,63
136.7832160721153,64
136.7932306695908,65
136.80208495565154,66
136.81253873607915,67
136.81571349135862,68
136.83059532845604,69
136.84152664112997,70
136.8476901444456,71
136.85165265305494,72
136.85712945837994,73
136.8615231121331,74
136.86359103964008,75
136.8722160461922,76
136.87596991775553,77
136.88012896703583,78
136.88104502016643,79
136.8841221818662,80
136.88545221690316,81
136.89023370705334,82
136.89063747460224,83
136.8915298674072,84
136.89163622611431,85
136.89177596212147,86
136.89214939130375,87
136.89220343434948,88
136.89289768502047,89
136.89318328104082,90
136.8940929045831,91
136.89453600476114,92
136.89513012357975,93
136.8954133372618,94
136.89572461351196,95
136.89580309273734,96
136.8958977996409,97
136.89596293818295,98
136.8959820618661,99
136.89617907438108,100
