coefficients,shift,node,intercept,state,iteration,time
"{""volume[1]"":0.0}","[[0.0,1]]",1,0.0,"{""volume[1]"":0.0}",0,0.0
"{""volume[1]"":0.0}","[[0.0,2]]",1,0.0,"{""volume[1]"":90.0}",1,0.0010170936584472656
"{""volume[1]"":0.0}","[[0.0,3]]",1,0.0,"{""volume[1]"":70.0}",1,0.0013151168823242188
"{""volume[1]"":0.0}","[[0.0,4]]",1,0.0,"{""volume[1]"":50.0}",1,0.0015940666198730469
"{""volume[1]"":-1.0}","[[0.0,5]]",1,35.0,"{""volume[1]"":10.0}",2,0.002515077590942383
"{""volume[1]"":-0.4975}","[[0.0,6]]",1,37.3125,"{""volume[1]"":50.0}",2,0.0028181076049804688
"{""volume[1]"":-0.24750625}","[[0.0,7]]",1,28.46321875,"{""volume[1]"":90.0}",2,0.0031211376190185547
"{""volume[1]"":-0.370640609375}","[[0.0,8]]",1,40.160982890625,"{""volume[1]"":70.0}",2,0.0034170150756835938
"{""volume[1]"":-0.368787406328125}","[[0.0,9]]",1,43.64805203945313,"{""volume[1]"":50.0}",2,0.003699064254760742
"{""volume[1]"":-0.36694346929648436}","[[0.0,10]]",1,47.0992464722207,"{""volume[1]"":80.0}",3,0.004808187484741211
"{""volume[1]"":-0.3651087519500019}","[[0.0,11]]",1,50.514837759359615,"{""volume[1]"":60.0}",3,0.0051000118255615234
"{""volume[1]"":-0.3632832081902519}","[[0.0,12]]",1,53.895095652465336,"{""volume[1]"":40.0}",3,0.005387067794799805
"{""volume[1]"":-1.1807333960746502}","[[0.0,13]]",1,85.01095225271,"{""volume[1]"":20.0}",3,0.005686044692993164
"{""volume[1]"":-1.5874148645471386}","[[0.0,14]]",1,106.9634515550323,"{""volume[1]"":0.0}",3,0.005995035171508789
"{""volume[1]"":-1.7897388951122015}","[[0.0,15]]",1,122.73646744389109,"{""volume[1]"":10.0}",3,0.0062940120697021484
"{""volume[1]"":-1.0711284963929706}","[[0.0,16]]",1,115.97138772849392,"{""volume[1]"":50.0}",3,0.006609201431274414
"{""volume[1]"":-0.1807333960746503}","[[0.0,17]]",1,34.042145930087514,"{""volume[1]"":140.0}",4,0.007914066314697266
"{""volume[1]"":-0.5899148645471385}","[[0.0,18]]",1,89.9493768864756,"{""volume[1]"":120.0}",4,0.008273124694824219
"{""volume[1]"":-0.5869652902244028}","[[0.0,19]]",1,95.36928290428725,"{""volume[1]"":100.0}",4,0.008588075637817383
"{""volume[1]"":-0.7920152318866405}","[[0.0,20]]",1,117.90229630054317,"{""volume[1]"":80.0}",4,0.008936166763305664
"{""volume[1]"":-0.7880551557272073}","[[0.0,21]]",1,125.19333637631253,"{""volume[1]"":50.0}",4,0.009276151657104492
"{""volume[1]"":-1.3920574399742855}","[[0.0,22]]",1,151.72622089494527,"{""volume[1]"":20.0}",4,0.009636163711547852
"{""volume[1]"":-1.0846060163614926}","[[0.0,23]]",1,155.70278823458125,"{""volume[1]"":50.0}",4,0.009992122650146484
"{""volume[1]"":-1.5395914931398424}","[[0.0,24]]",1,178.73652949921305,"{""volume[1]"":20.0}",4,0.010339021682739258
"{""volume[1]"":-1.3055382609769142}","[[0.0,25]]",1,183.17421881347954,"{""volume[1]"":50.0}",4,0.010663986206054688
"{""volume[1]"":-1.2990105696720295}","[[0.0,26]]",1,192.25834771941214,"{""volume[1]"":60.0}",5,0.012382030487060547
"{""volume[1]"":-1.2925155168236695}","[[0.0,27]]",1,201.29705598081506,"{""volume[1]"":30.0}",5,0.012704133987426758
"{""volume[1]"":-1.6430264696197756}","[[0.0,28]]",1,220.9997766123177,"{""volume[1]"":0.0}",5,0.01332712173461914
"{""volume[1]"":-1.8174056686358384}","[[0.0,29]]",1,235.37260767018097,"{""volume[1]"":0.0}",5,0.013883113861083984
"{""volume[1]"":-1.8083186402926592}","[[0.0,30]]",1,244.19574463183005,"{""volume[1]"":30.0}",5,0.014373064041137695
"{""volume[1]"":-1.899638523545598}","[[0.0,31]]",1,255.98561020230295,"{""volume[1]"":0.0}",5,0.014868974685668945
"{""volume[1]"":-1.9450701654639349}","[[0.0,32]]",1,266.3535771873734,"{""volume[1]"":0.0}",5,0.015388011932373047
"{""volume[1]"":-1.9676724073183076}","[[0.0,33]]",1,275.9916370818873,"{""volume[1]"":20.0}",5,0.01587820053100586
"{""volume[1]"":-1.957834045281716}","[[0.0,34]]",1,284.6116788964778,"{""volume[1]"":50.0}",5,0.016334056854248047
"{""volume[1]"":-1.9740224375276538}","[[0.0,35]]",1,293.96794737616585,"{""volume[1]"":20.0}",5,0.016827106475830078
"{""volume[1]"":-1.9641523253400155}","[[0.0,36]]",1,302.498107639285,"{""volume[1]"":50.0}",5,0.017278194427490234
"{""volume[1]"":-1.9543315637133154}","[[0.0,37]]",1,310.9856171010886,"{""volume[1]"":30.0}",6,0.019199132919311523
"{""volume[1]"":-1.944559905894749}","[[0.0,38]]",1,319.4306890155832,"{""volume[1]"":60.0}",6,0.019507169723510742
"{""volume[1]"":-1.9348371063652752}","[[0.0,39]]",1,327.83353557050526,"{""volume[1]"":90.0}",6,0.019819974899291992
"{""volume[1]"":-1.9251629208334489}","[[0.0,40]]",1,336.19436789265274,"{""volume[1]"":60.0}",6,0.020138978958129883
"{""volume[1]"":-1.9155371062292816}","[[0.0,41]]",1,344.51339605318947,"{""volume[1]"":30.0}",6,0.02045416831970215
"{""volume[1]"":-1.9529797103490676}","[[0.0,42]]",1,354.2014377624515,"{""volume[1]"":0.0}",6,0.020765066146850586
"{""volume[1]"":-1.9432148117973223}","[[0.0,43]]",1,362.4304305736392,"{""volume[1]"":30.0}",6,0.021054983139038086
"{""volume[1]"":-1.9334987377383357}","[[0.0,44]]",1,370.618278420771,"{""volume[1]"":60.0}",6,0.021306991577148438
"{""volume[1]"":-1.923831244049644}","[[0.0,45]]",1,378.7651870286671,"{""volume[1]"":30.0}",6,0.02153611183166504
"{""volume[1]"":-1.9571060439146977}","[[0.0,46]]",1,388.1581797760829,"{""volume[1]"":0.0}",6,0.021792173385620117
"{""volume[1]"":-1.973660256847562}","[[0.0,47]]",1,397.0075811717756,"{""volume[1]"":0.0}",6,0.022051095962524414
"{""volume[1]"":-1.981895977781662}","[[0.0,48]]",1,405.56566393246686,"{""volume[1]"":20.0}",6,0.022332191467285156
"{""volume[1]"":-1.9719864978927537}","[[0.0,49]]",1,413.53783561280454,"{""volume[1]"":50.0}",6,0.022588014602661133
"{""volume[1]"":24.018936717298356}","[[0.0,50]]",1,-4250.31061162454,"{""volume[1]"":200.0}",7,0.024471044540405273
"{""volume[1]"":24.018936717298356}","[[0.0,51]]",1,-3984.478354213603,"{""volume[1]"":200.0}",7,0.02479720115661621
"{""volume[1]"":10.968357734154289}","[[0.0,52]]",1,-1503.1225891857296,"{""volume[1]"":170.0}",7,0.025079011917114258
"{""volume[1]"":4.475694690040114}","[[0.0,53]]",1,-398.50135696664574,"{""volume[1]"":140.0}",7,0.025372982025146484
"{""volume[1]"":7.683416081036715}","[[0.0,54]]",1,-925.9890780877699,"{""volume[1]"":170.0}",7,0.025660991668701172
"{""volume[1]"":1.2455948255933116}","[[0.0,55]]",1,86.44570877341249,"{""volume[1]"":140.0}",7,0.025964975357055664
"{""volume[1]"":-0.36137985696897246}","[[0.0,56]]",1,295.5673803278458,"{""volume[1]"":110.0}",7,0.02631211280822754
"{""volume[1]"":-1.1608497615437088}","[[0.0,57]]",1,383.61601383468167,"{""volume[1]"":80.0}",7,0.026624202728271484
"{""volume[1]"":-1.55858603906964}","[[0.0,58]]",1,418.6902558901338,"{""volume[1]"":50.0}",7,0.02693915367126465
"{""volume[1]"":-1.775396554437146}","[[0.0,59]]",1,433.3349079775688,"{""volume[1]"":20.0}",7,0.02725505828857422
"{""volume[1]"":-1.658656340269626}","[[0.0,60]]",1,437.1184159660421,"{""volume[1]"":50.0}",7,0.027546167373657227
"{""volume[1]"":-1.402704285652134}","[[0.0,61]]",1,425.7451420133444,"{""volume[1]"":80.0}",7,0.027854204177856445
"{""volume[1]"":-1.5230269113960755}","[[0.0,62]]",1,443.0947045099108,"{""volume[1]"":50.0}",7,0.028174161911010742
"{""volume[1]"":-1.5154117768390951}","[[0.0,63]]",1,450.8792309873612,"{""volume[1]"":80.0}",7,0.028480052947998047
"{""volume[1]"":-1.5078347179548997}","[[0.0,64]]",1,458.6248348324244,"{""volume[1]"":50.0}",7,0.02879810333251953
"{""volume[1]"":-1.7501477721825625}","[[0.0,65]]",1,473.8272774927854,"{""volume[1]"":0.0}",8,0.03136301040649414
"{""volume[1]"":-1.7413970333216497}","[[0.0,66]]",1,481.4581411053215,"{""volume[1]"":30.0}",8,0.031699180603027344
"{""volume[1]"":-1.8663450240775208}","[[0.0,67]]",1,493.06049967746924,"{""volume[1]"":0.0}",8,0.0320429801940918
"{""volume[1]"":-1.9285066494785665}","[[0.0,68]]",1,502.7399976947249,"{""volume[1]"":0.0}",8,0.032380104064941406
