approx_value,iteration
19.9775075,1
61.655524160895794,2
115.48546834884523,3
176.96676665130457,4
251.77667628218688,5
326.9847615913965,6
373.8095910872307,7
513.1302000876841,8
664.5491572842384,9
739.0563685587124,10
878.0896975407686,11
1083.420604795034,12
1202.295049359389,13
1404.4021767035385,14
1522.810020112655,15
1782.0452456716453,16
2047.8742321388063,17
2221.7928388774753,18
2499.523178228403,19
2695.0513734094884,20
2918.267627555775,21
3109.022754955151,22
3377.5523957472506,23
3615.0665773099786,24
3906.2124884932527,25
4034.1126499164247,26
4320.800584357174,27
4377.878017727569,28
4580.210095869116,29
4755.541526976447,30
4927.04957437364,31
5214.945154802634,32
5440.809572767546,33
5710.306502504471,34
5756.197986652571,35
6027.5547794782115,36
6309.840870636999,37
6551.577561407449,38
6641.992706918938,39
6907.4883990706985,40
7054.740894029624,41
7299.589496900346,42
7472.103601723217,43
7666.301926548036,44
7868.3634173824175,45
8044.679058017502,46
8209.995955333043,47
8353.183729003962,48
8535.243831703345,49
8723.71759148072,50
8880.67163267624,51
9087.978080182065,52
9239.258435705595,53
9441.381647301605,54
9564.690952459918,55
9754.880571304602,56
9901.757189439282,57
10092.374003619305,58
10255.047674064395,59
10420.580965795518,60
10614.90846160739,61
10765.133381811438,62
10945.546333815786,63
11100.973867408855,64
11240.131906565697,65
11404.37051060654,66
11546.265708842435,67
11713.508103289001,68
11796.552658817061,69
11942.400739086592,70
12101.427387093405,71
12236.501259051754,72
12367.909658855328,73
12504.338181211526,74
12626.952294766543,75
12739.185145587697,76
12878.85677337231,77
12990.362752849023,78
13112.55541692604,79
13223.196392306443,80
13326.119212247057,81
13406.029403209039,82
13470.194306963982,83
13560.061716445016,84
13664.810881843478,85
13754.10957489005,86
13809.08900588813,87
13899.075222471678,88
13990.800424667996,89
14059.7231945098,90
14124.885702101972,91
14196.904142870122,92
14268.401405916953,93
14362.225326677417,94
14453.509579251335,95
14533.7661398606,96
14608.564478181823,97
14687.760785295537,98
14782.281774363497,99
14847.062583473311,100
