node,iteration,delta
1,1,19.980000000000004
1,2,18.138568850925953
1,3,7.227230936427354
1,4,16.0809519318086
1,5,9.219309692814136
1,6,13.07755868104448
1,7,12.403530520289877
1,8,12.325857299959807
1,9,14.561500223284625
1,10,14.55556467032838
1,11,15.700789335031658
1,12,17.32465221898744
1,13,15.933742346469842
1,14,18.71493344398857
1,15,16.74238944900651
1,16,16.786722890391843
1,17,16.996670122134134
1,18,16.842582070988158
1,19,16.86558267067369
1,20,16.96882079876505
1,21,17.09981799328213
1,22,17.119419953608173
1,23,17.11513287812602
1,24,17.178954420391904
1,25,17.184773237681924
1,26,17.217099643655956
1,27,17.356344940947196
1,28,17.274322622225355
1,29,17.45713615095508
1,30,17.337945877831515
1,31,17.394166875288505
1,32,17.474779079793365
1,33,17.44921949113612
1,34,17.478909601427773
1,35,17.49218735047083
1,36,17.622831009136775
1,37,17.670060195688933
1,38,17.565443704119275
1,39,17.57507676092476
1,40,17.569495063170734
1,41,17.572295204957015
1,42,17.575234238522484
1,43,17.603457554770273
1,44,17.576867770526093
1,45,17.586159319427765
1,46,17.581470600978378
1,47,17.581995623831233
1,48,17.582150609700875
1,49,17.5821425461626
1,50,17.623841149161166
1,51,17.59810613472183
1,52,17.59450248867728
1,53,17.596071838250595
1,54,17.593483066771256
1,55,17.5936738507626
1,56,17.598751584518595
1,57,17.598475443772003
1,58,17.599681817219306
1,59,17.600046077036183
1,60,17.603373973432298
1,61,17.601629279898873
1,62,17.604838761529834
1,63,17.60520006619973
1,64,17.60295757601523
1,65,17.603820362704823
1,66,17.607240851315396
1,67,17.60537745961588
1,68,17.61216762461953
1,69,17.607051763995656
1,70,17.607402064137688
1,71,17.612178662974515
1,72,17.608141383392848
1,73,17.60787408899907
1,74,17.61247808815503
1,75,17.609500148142388
1,76,17.608391944109343
1,77,17.612275739382824
1,78,17.61421857922798
1,79,17.610075583872316
1,80,17.611496677594545
1,81,17.610679306793628
1,82,17.610794800849874
1,83,17.610960242072423
1,84,17.611509933551446
1,85,17.61045888655383
1,86,17.611154896883534
1,87,17.610534880719854
1,88,17.610654690699988
1,89,17.611649366402958
1,90,17.611124675020136
1,91,17.611615577525612
1,92,17.610867330680293
1,93,17.61115652801817
1,94,17.610935241700844
1,95,17.610719153394967
1,96,17.61090513205707
1,97,17.611090669670375
1,98,17.611051043281464
1,99,17.611043936887427
1,100,17.611054360215434
