approx_value,iteration
19.9775075,1
36.57910336350096,2
55.752436393611134,3
76.26582758423358,4
100.80009696230911,5
117.17370312610211,6
126.94495856688268,7
138.51456523356734,8
144.11652879841517,9
146.3361949104448,10
147.4380181689695,11
151.23811082553416,12
151.2847571501794,13
152.26924240700023,14
157.1079987735455,15
158.03936237744583,16
158.26163157058392,17
158.5356696608606,18
159.18504546328546,19
159.18504546328546,20
160.31244243032276,21
160.7138261382827,22
160.89711035098912,23
161.03312714090015,24
161.1910780744326,25
161.19538364264162,26
162.1277625820187,27
162.46188981947583,28
162.48132293595586,29
163.45392798791767,30
163.61373784856534,31
164.0168229760291,32
164.1716132783643,33
164.24556069787138,34
164.3021065364834,35
164.53889794679458,36
164.98472572456896,37
165.11677449428083,38
165.1988937276401,39
165.22116567508675,40
165.26609739638536,41
165.29325822284045,42
165.31537589414165,43
165.36049548501373,44
165.3814916779146,45
165.40282410207533,46
165.41755569862394,47
165.42218561620354,48
165.42598951821734,49
165.46795468629546,50
165.49107116858812,51
165.57067077631552,52
165.6172225629384,53
165.6324766174576,54
165.64421087775276,55
165.66943180128283,56
165.68902940557834,57
165.6982056673988,58
165.70132097649417,59
165.7081435247697,60
165.72348123927532,61
165.75532667865363,62
165.7723338110883,63
165.78963257083836,64
165.80489190856466,65
165.82381517837084,66
165.84641882009376,67
165.8637443191572,68
165.87454815659035,69
165.87975533619405,70
165.8873149430531,71
165.90222610544842,72
165.9146656881938,73
165.92312223014486,74
165.9419486709975,75
165.95687635826584,76
165.9729856798841,77
165.9788883846141,78
165.98749771458927,79
165.99299044613434,80
166.00001882904724,81
166.00625617127844,82
166.01500701282413,83
166.0218850753653,84
166.02378192287728,85
166.0261468144318,86
166.02955044315507,87
166.03188359749876,88
166.03673280477446,89
166.0390411077592,90
166.04372040736877,91
166.04837833188662,92
166.05278040180053,93
166.05501052304055,94
166.05834267719683,95
166.0604475036429,96
166.06157684595306,97
166.06200478225048,98
166.06235656503864,99
166.06259783556834,100
