approx_value,iteration
0.0,1
9.980009999999998,2
63.877202339112486,3
130.96606306255558,4
232.43228524550688,5
358.0491432099716,6
501.0372067941275,7
660.7664091303566,8
835.9056472229261,9
1025.2593566247465,10
1228.934630215847,11
1444.255080166051,12
1671.1541980743643,13
1795.0833255963637,14
2014.416106171661,15
2226.702529349542,16
2396.1449596828415,17
2584.2200871245086,18
2841.379897858059,19
2881.473917734841,20
3156.03723332163,21
3364.3753843667328,22
3572.3629239115394,23
3770.905168900207,24
4010.223489346757,25
4272.853681238965,26
4572.076902519123,27
4826.786522863795,28
5041.6982110894905,29
5214.024347348472,30
5306.369762120903,31
5576.29872732512,32
5801.988451124383,33
5999.082604469346,34
6181.684803297367,35
6436.1174733904645,36
6583.627365076382,37
6703.530322869858,38
6936.646406074234,39
7048.360607372961,40
7291.789595299465,41
7394.020768779011,42
7633.6264793187775,43
7841.146570871053,44
7977.451415486325,45
8213.927991834344,46
8363.371413392415,47
8538.00082367316,48
8690.098496600363,49
8844.274717040144,50
9002.062894229002,51
9148.45179437742,52
9253.508961373993,53
9439.260822037015,54
9571.178971165278,55
9667.469631396994,56
9826.091956562113,57
9970.5662454912,58
10157.730126975182,59
10296.189561623618,60
10457.575852603932,61
10624.48594477239,62
10739.213402750383,63
10885.250305724803,64
11056.909173626114,65
11213.716573788846,66
11359.852789045344,67
11476.793525374182,68
11651.899252230343,69
11803.46846157034,70
11957.446868049474,71
12048.101915229603,72
12202.679359957754,73
12343.84913892924,74
12473.719025326038,75
12556.627392699822,76
12721.765500415922,77
12835.015131953503,78
12974.907198396504,79
13095.862927461858,80
13210.810395514098,81
13331.72629561699,82
13451.660091013786,83
13575.698322254188,84
13697.940107568442,85
13808.310315796512,86
13915.968129328183,87
14036.554910875728,88
14122.047688011153,89
14187.908991481087,90
14234.376499339822,91
14311.484924393482,92
14392.980789464076,93
14478.141310707357,94
14580.681985134801,95
14637.114995456384,96
14717.805543263765,97
14767.212395064187,98
14810.849052833379,99
14858.946865093108,100
