approx_value,iteration
19.775750000000002,1
59.982689445096184,2
103.63194169068427,3
165.15349503313865,4
226.79503197559268,5
308.38701160580933,6
326.5571987639945,7
413.9304155978766,8
492.4556177999441,9
545.3926305188388,10
611.9439398147753,11
690.2981061972628,12
732.3101389535034,13
801.1448804187041,14
837.8297215643529,15
895.1027554265661,16
941.7277539558454,17
982.770411067441,18
1037.473011959201,19
1088.6241140568281,20
1131.993490134922,21
1164.463580439481,22
1200.4790039181105,23
1231.2242234352411,24
1265.0337693635643,25
1287.1416279931645,26
1325.8756985186683,27
1362.8872347577467,28
1396.068730955823,29
1425.4646975122807,30
1462.6903378485902,31
1492.7675655444843,32
1514.1242367536152,33
1528.3892195984977,34
1543.208859447035,35
1561.609791400326,36
1569.5867995028802,37
1578.389198935305,38
1591.2609340706106,39
1605.0948252641392,40
1616.7476788568983,41
1629.8025337665808,42
1639.2144799194778,43
1649.3493986642447,44
1657.2341494297302,45
1662.7215563232528,46
1667.9196732551966,47
1672.0491119587311,48
1677.456699771231,49
1681.1404138197802,50
1684.0683716403057,51
1689.8560460715164,52
1695.8629383849757,53
1699.6614876466354,54
1703.1070408386609,55
1708.0954895690898,56
1711.9005817883017,57
1715.7030302788444,58
1718.4989298164019,59
1720.7898591304825,60
1723.250327474786,61
1724.5914681456188,62
1725.7276844963474,63
1726.7278927381228,64
1727.9956926591444,65
1729.0476327068284,66
1729.647007269864,67
1730.468889508756,68
1731.0039263610313,69
1731.6533070930695,70
1732.154806637955,71
1732.5764991882431,72
1732.9430923929588,73
1733.270248694308,74
1733.566198603443,75
1733.7452388594954,76
1734.0661792012068,77
1734.264890045125,78
1734.5026776273044,79
1734.6670768682784,80
1734.7758160519547,81
1734.8843786659531,82
1734.9995877057936,83
1735.066433978437,84
1735.1068484182592,85
1735.1565125650327,86
1735.1776513831987,87
1735.2601618852773,88
1735.3142193630806,89
1735.3434839086876,90
1735.3676045281572,91
1735.3915038856867,92
1735.4298979756554,93
1735.491864010935,94
1735.5575720168476,95
1735.593188862365,96
1735.6243180939719,97
1735.6667387518603,98
1735.729639076128,99
1735.771680165767,100
